"Median Monthly Basic Pay and Allowance of Time-Rate Workers on Full-Time Basis by Industry, 2014 to 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__OWS/0041B3E1040.px/table/tableViewLayout1/?rxid=5e57853f-ceff-4449-9333-678a00dfce43"
"Sex";"Industries";"Basic Pay/Allowance";"2014";"2016";"2018";"2020";"2022"
"Male";"Warehousing and Support Activities for Transportation";"Median Allowances";.;.;1055;2522;1881
"Male";"Postal and Courier Activities";"Median Basic Pay";.;.;13308;14387;15047
"Male";"Postal and Courier Activities";"Median Allowances";.;.;734;6242;1351
"Male";"Accommodation and Food Service Activities";"Median Basic Pay";.;.;11923;12079;12941
"Male";"Accommodation and Food Service Activities";"Median Allowances";.;.;879;1196;1610
"Male";"Information and Communications";"Median Basic Pay";.;.;25517;24481;26107
"Male";"Information and Communications";"Median Allowances";.;.;1869;2786;2389
"Male";"Publishing Activities";"Median Basic Pay";.;.;19073;21218;21525
"Male";"Publishing Activities";"Median Allowances";.;.;2546;3158;3213
"Male";"Motion Picture, Video and Television Programme Production, Sound Recording and Music Publishing Activities except Animated Films and Cartoons Production; Programming and Broadcasting Activities";"Median Basic Pay";.;.;19430;22271;22171
"Male";"Motion Picture, Video and Television Programme Production, Sound Recording and Music Publishing Activities except Animated Films and Cartoons Production; Programming and Broadcasting Activities";"Median Allowances";.;.;579;797;654
"Male";"Animated Films and Cartoons Production";"Median Basic Pay";.;.;25261;19960;25118
"Male";"Animated Films and Cartoons Production";"Median Allowances";.;.;2596;2286;5191
"Male";"Telecommunications";"Median Basic Pay";.;.;28831;14708;21459
"Male";"Telecommunications";"Median Allowances";.;.;1761;3489;2252
"Male";"Computer Programming, Consultancy and Related Activities; Information Service Activities";"Median Basic Pay";.;.;25897;27478;.
"Male";"Computer Programming, Consultancy and Related Activities; Information Service Activities";"Median Allowances";.;.;2634;2776;.
"Male";"Computer Programming, Consultancy and Related Activities";"Median Basic Pay";.;.;.;.;33886
"Male";"Computer Programming, Consultancy and Related Activities";"Median Allowances";.;.;.;.;2894
"Male";"Information Service Activities";"Median Basic Pay";.;.;.;.;18297
"Male";"Information Service Activities";"Median Allowances";.;.;.;.;2748
"Male";"Financial and Insurance Activities";"Median Basic Pay";.;.;17248;14917;15434
"Male";"Financial and Insurance Activities";"Median Allowances";.;.;2400;2409;2415
"Male";"Financial Service Activities except Insurance, Pension Funding and Central Banking";"Median Basic Pay";.;.;15892;14457;14927
"Male";"Financial Service Activities except Insurance, Pension Funding and Central Banking";"Median Allowances";.;.;2723;2123;2293
"Male";"Insurance, Reinsurance and Pension Funding except Compulsory Social Security";"Median Basic Pay";.;.;22566;24035;29348
"Male";"Insurance, Reinsurance and Pension Funding except Compulsory Social Security";"Median Allowances";.;.;2303;6961;4026
"Male";"Activities Auxiliary to Financial Service and Insurance Activities";"Median Basic Pay";.;.;23289;17975;15696
"Male";"Activities Auxiliary to Financial Service and Insurance Activities";"Median Allowances";.;.;2079;4741;3596
"Male";"Real Estate Activities";"Median Basic Pay";.;.;16443;14820;17872
"Male";"Real Estate Activities";"Median Allowances";.;.;2081;1922;2139
"Male";"Professional, Scientific and Technical Activities";"Median Basic Pay";.;.;18644;19212;20918
"Male";"Professional, Scientific and Technical Activities";"Median Allowances";.;.;2316;3052;3258
"Male";"Professional, Scientific and Technical Activities except Accounting, Architectural and Engineering Activities";"Median Basic Pay";.;.;17946;19958;18453
"Male";"Professional, Scientific and Technical Activities except Accounting, Architectural and Engineering Activities";"Median Allowances";.;.;2148;4077;2813
"Male";"Accounting, Bookkeeping and Auditing Activities; Tax Consultancy";"Median Basic Pay";.;.;19064;20435;26802
"Male";"Accounting, Bookkeeping and Auditing Activities; Tax Consultancy";"Median Allowances";.;.;4413;2969;3629
"Male";"Architectural and Engineering Activities and Related Technical Consultancy";"Median Basic Pay";.;.;19523;16970;22740
"Male";"Architectural and Engineering Activities and Related Technical Consultancy";"Median Allowances";.;.;2534;2750;3502
"Male";"Administrative and Support Service Activities";"Median Basic Pay";.;.;13714;13473;14574
"Male";"Administrative and Support Service Activities";"Median Allowances";.;.;2064;2602;2831
"Male";"Rental and Leasing Activities; Security and Investigation Activities; Services to Buildings and Landscape Activities";"Median Basic Pay";.;.;13105;13130;14144
"Male";"Rental and Leasing Activities; Security and Investigation Activities; Services to Buildings and Landscape Activities";"Median Allowances";.;.;401;1619;1613
"Male";"Employment Activities";"Median Basic Pay";.;.;12439;10957;12054
"Male";"Employment Activities";"Median Allowances";.;.;400;1291;5209
"Male";"Travel Agency, Tour Operator, Reservation Service and Related Activities";"Median Basic Pay";.;.;16747;15916;15827
"Male";"Travel Agency, Tour Operator, Reservation Service and Related Activities";"Median Allowances";.;.;3097;2188;3310
"Male";"Office Administrative, Office Support and Other Business Support Activities except Call Center Activities (Voice) and Medical Transcription Activities";"Median Basic Pay";.;.;13910;13835;20264
"Male";"Office Administrative, Office Support and Other Business Support Activities except Call Center Activities (Voice) and Medical Transcription Activities";"Median Allowances";.;.;2137;1843;2577
"Male";"Call Center Activities (Voice)";"Median Basic Pay";.;.;18138;17827;18279
"Male";"Call Center Activities (Voice)";"Median Allowances";.;.;2440;2759;2721
"Male";"Back-Office Operations Activities (Non-Voice) except Medical Transcription Activities";"Median Basic Pay";.;.;18573;22668;18989
"Male";"Back-Office Operations Activities (Non-Voice) except Medical Transcription Activities";"Median Allowances";.;.;3537;4410;3629
"Male";"Medical Transcription Activities";"Median Basic Pay";.;.;15539;15452;23824
"Male";"Medical Transcription Activities";"Median Allowances";.;.;2144;9200;4346
"Male";"Education Except Public Education";"Median Basic Pay";.;.;14785;15254;15937
"Male";"Education Except Public Education";"Median Allowances";.;.;1767;1991;2070
"Male";"Human Health and Social Work Activities";"Median Basic Pay";.;.;13275;14451;15270
"Male";"Human Health and Social Work Activities";"Median Allowances";.;.;1545;1923;2018
"Male";"Human Health Activities except Public Health Activities";"Median Basic Pay";.;.;13192;14023;15257
"Male";"Human Health Activities except Public Health Activities";"Median Allowances";.;.;1442;1872;1999
"Male";"Residential Care Activities; Social Work Activities without Accommodation";"Median Basic Pay";.;.;16121;16780;15670
"Male";"Residential Care Activities; Social Work Activities without Accommodation";"Median Allowances";.;.;2687;2682;2403
"Male";"Arts, Entertainment and Recreation";"Median Basic Pay";.;.;13805;14381;16215
"Male";"Arts, Entertainment and Recreation";"Median Allowances";.;.;1560;5632;5274
"Male";"Creative, Arts and Entertainment Activities";"Median Basic Pay";.;.;19657;16300;.
"Male";"Creative, Arts and Entertainment Activities";"Median Allowances";.;.;2121;2250;.
"Male";"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"Median Basic Pay";.;.;13768;14368;.
"Male";"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"Median Allowances";.;.;1545;5714;.
"Male";"Other Service Activities Except Activities of Membership Organizations";"Median Basic Pay";.;.;13536;13182;14149
"Male";"Other Service Activities Except Activities of Membership Organizations";"Median Allowances";.;.;1015;1605;1424
"Male";"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Median Basic Pay";.;.;.;.;.
"Male";"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Median Allowances";.;.;.;.;.
"Male";"Repair of Computers and Personal Household Goods";"Median Basic Pay";.;.;13960;11710;14436
"Male";"Repair of Computers and Personal Household Goods";"Median Allowances";.;.;1172;1614;1396
"Male";"Other Personal Service Activities";"Median Basic Pay";.;.;13318;14384;12729
"Male";"Other Personal Service Activities";"Median Allowances";.;.;446;938;1659
"Female";"All Industries";"Median Basic Pay";.;.;13719;14051;14916
"Female";"All Industries";"Median Allowances";.;.;1933;2507;2418
"Female";"Agriculture, Forestry and Fishing";"Median Basic Pay";.;.;10036;10801;11517
"Female";"Agriculture, Forestry and Fishing";"Median Allowances";.;.;1656;2194;2136
"Female";"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"Median Basic Pay";.;.;9981;10861;11509
"Female";"Crop and Animal Production, Hunting and Related Service Activities; Forestry and Logging";"Median Allowances";.;.;1651;2199;2152
"Female";"Fishing and Aquaculture";"Median Basic Pay";.;.;11930;9443;11629
"Female";"Fishing and Aquaculture";"Median Allowances";.;.;1745;1489;1126
"Female";"Mining and Quarrying";"Median Basic Pay";.;.;15979;15538;17620
"Female";"Mining and Quarrying";"Median Allowances";.;.;1246;2141;2097
"Female";"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"Median Basic Pay";.;.;12394;10530;15318
"Female";"Mining of Coal and Lignite; Extraction of Crude Petroleum and Natural Gas; and Other Mining and Quarrying";"Median Allowances";.;.;1395;1754;1715
"Female";"Mining of Metal Ores";"Median Basic Pay";.;.;16415;15978;18780
"Female";"Mining of Metal Ores";"Median Allowances";.;.;1072;2174;2117
"Female";"Mining Support Service";"Median Basic Pay";.;.;33236;15900;17171
"Female";"Mining Support Service";"Median Allowances";.;.;5081;2650;2952
"Female";"Manufacturing";"Median Basic Pay";.;.;10722;11013;11840
"Female";"Manufacturing";"Median Allowances";.;.;1058;1877;1774
"Female";"Manufacture of Food Products";"Median Basic Pay";.;.;12940;13110;12044
"Female";"Manufacture of Food Products";"Median Allowances";.;.;782;2053;2121
"Female";"Manufacture of Beverages";"Median Basic Pay";.;.;18193;19004;22403
"Female";"Manufacture of Beverages";"Median Allowances";.;.;1509;1891;2102
"Female";"Manufacture of Tobacco Products";"Median Basic Pay";.;.;10378;15776;10909
"Female";"Manufacture of Tobacco Products";"Median Allowances";.;.;951;2690;810
"Female";"Manufacture of Textiles";"Median Basic Pay";.;.;10767;11055;11777
"Female";"Manufacture of Textiles";"Median Allowances";.;.;424;1915;1363
"Female";"Manufacture of Wearing Apparel";"Median Basic Pay";.;.;10215;10102;11374
"Female";"Manufacture of Wearing Apparel";"Median Allowances";.;.;868;1082;1263
"Female";"Manufacture of Leather and Related Products";"Median Basic Pay";.;.;10646;10746;11609
"Female";"Manufacture of Leather and Related Products";"Median Allowances";.;.;617;1350;1251
"Female";"Sawmilling and Planing of Wood";"Median Basic Pay";.;.;9715;18617;14427
"Female";"Sawmilling and Planing of Wood";"Median Allowances";.;.;919;4125;1163
"Female";"Manufacture of Products of Wood, Cork, Straw and Plaiting Materials";"Median Basic Pay";.;.;9895;9915;10950
"Female";"Manufacture of Products of Wood, Cork, Straw and Plaiting Materials";"Median Allowances";.;.;381;1447;1265
"Female";"Manufacture of Paper and Paper Products";"Median Basic Pay";.;.;13163;10862;12684
"Female";"Manufacture of Paper and Paper Products";"Median Allowances";.;.;569;1164;1759
"Female";"Printing and Reproduction of Recorded Media";"Median Basic Pay";.;.;13234;13931;11785
"Female";"Printing and Reproduction of Recorded Media";"Median Allowances";.;.;887;2087;3255
"Female";"Manufacture of Coke and Refined Petroleum Products";"Median Basic Pay";.;.;33145;17770;19557
"Female";"Manufacture of Coke and Refined Petroleum Products";"Median Allowances";.;.;5118;1775;3782
"Female";"Manufacture of Chemicals and Chemical Products";"Median Basic Pay";.;.;15342;13186;15593
"Female";"Manufacture of Chemicals and Chemical Products";"Median Allowances";.;.;1617;1254;2209
"Female";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparation";"Median Basic Pay";.;.;14376;15341;15543
"Female";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparation";"Median Allowances";.;.;1719;2852;1866
"Female";"Manufacture of Rubber Products";"Median Basic Pay";.;.;10544;10626;11657
"Female";"Manufacture of Rubber Products";"Median Allowances";.;.;892;979;1074
"Female";"Manufacture of Plastic Products";"Median Basic Pay";.;.;12087;13040;12851
"Female";"Manufacture of Plastic Products";"Median Allowances";.;.;896;1158;2012
"Female";"Manufacture of Other Non-Metallic Mineral Products";"Median Basic Pay";.;.;10529;15134;12251
"Female";"Manufacture of Other Non-Metallic Mineral Products";"Median Allowances";.;.;1552;4319;674
"Female";"Manufacture of Basic Metals";"Median Basic Pay";.;.;14103;16046;16199
"Female";"Manufacture of Basic Metals";"Median Allowances";.;.;2024;2559;2507
"Female";"Manufacture of Fabricated Metal Products except Machinery and Equipment";"Median Basic Pay";.;.;11211;11697;13366
"Female";"Manufacture of Fabricated Metal Products except Machinery and Equipment";"Median Allowances";.;.;759;1115;1650
"Female";"Manufacture of Computer, Electronic and Optical Products";"Median Basic Pay";.;.;10727;10827;11785
"Female";"Manufacture of Computer, Electronic and Optical Products";"Median Allowances";.;.;1176;2542;2199
"Female";"Manufacture of Electrical Equipment";"Median Basic Pay";.;.;10132;10338;11454
"Female";"Manufacture of Electrical Equipment";"Median Allowances";.;.;1266;2269;1228
"Female";"Manufacture of Machinery and Equipment, n.e.c.";"Median Basic Pay";.;.;10691;15711;10929
"Female";"Manufacture of Machinery and Equipment, n.e.c.";"Median Allowances";.;.;668;1432;5314
"Female";"Manufacture of Motor Vehicles, Trailers and Semi-Trailers";"Median Basic Pay";.;.;10448;11607;13472
"Female";"Manufacture of Motor Vehicles, Trailers and Semi-Trailers";"Median Allowances";.;.;1114;1236;1715
"Female";"Manufacture of Other Transport Equipment except Building of Ships and Boats";"Median Basic Pay";.;.;13730;10881;12017
"Female";"Manufacture of Other Transport Equipment except Building of Ships and Boats";"Median Allowances";.;.;1230;1806;2571
"Female";"Building of Ships and Boats";"Median Basic Pay";.;.;14929;13941;13844
"Female";"Building of Ships and Boats";"Median Allowances";.;.;1380;4985;2350
"Female";"Manufacture of Furniture";"Median Basic Pay";.;.;12453;10906;14300
"Female";"Manufacture of Furniture";"Median Allowances";.;.;1272;1077;1496
"Female";"Other Manufacturing; Repair and Installation of Machinery and Equipment";"Median Basic Pay";.;.;10190;11832;12663
"Female";"Other Manufacturing; Repair and Installation of Machinery and Equipment";"Median Allowances";.;.;805;2657;2218
"Female";"Electricity, Gas, Steam and Air Conditioning Supply";"Median Basic Pay";.;.;27700;30456;34475
"Female";"Electricity, Gas, Steam and Air Conditioning Supply";"Median Allowances";.;.;3328;3969;3481
"Female";"Water Supply; Sewerage, Waste Management and Remediation Activities";"Median Basic Pay";.;.;20792;18666;21141
"Female";"Water Supply; Sewerage, Waste Management and Remediation Activities";"Median Allowances";.;.;2210;2312;2331
"Female";"Water Collection, Treatment and Supply";"Median Basic Pay";.;.;21124;20144;22217
"Female";"Water Collection, Treatment and Supply";"Median Allowances";.;.;2206;2313;2331
"Female";"Sewerage; Waste Collection, Treatment and Disposal Activities; Materials Recovery; Remediation Activities and Other Waste Management Services";"Median Basic Pay";.;.;17851;15798;15654
"Female";"Sewerage; Waste Collection, Treatment and Disposal Activities; Materials Recovery; Remediation Activities and Other Waste Management Services";"Median Allowances";.;.;2676;2274;2369
"Female";"Construction";"Median Basic Pay";.;.;15628;16185;17127
"Female";"Construction";"Median Allowances";.;.;1706;3134;2575
"Female";"Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Median Basic Pay";.;.;13484;13366;14000
"Female";"Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Median Allowances";.;.;674;2166;1813
"Female";"Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycles";"Median Basic Pay";.;.;13431;13245;14034
"Female";"Wholesale and Retail Trade and Repair of Motor Vehicles and Motorcycles";"Median Allowances";.;.;812;1786;2126
"Female";"Wholesale Trade except of Motor Vehicles and Motorcycles";"Median Basic Pay";.;.;15227;15091;16354
"Female";"Wholesale Trade except of Motor Vehicles and Motorcycles";"Median Allowances";.;.;1574;2866;2380
"Female";"Retail Trade except of Motor Vehicles and Motorcycles";"Median Basic Pay";.;.;12803;11862;11943
"Female";"Retail Trade except of Motor Vehicles and Motorcycles";"Median Allowances";.;.;445;1490;1348
"Female";"Transportation and Storage";"Median Basic Pay";.;.;15269;16518;17437
"Female";"Transportation and Storage";"Median Allowances";.;.;1550;1994;2105
"Female";"Land Transport and Transport via Pipelines except  Transport via Buses";"Median Basic Pay";.;.;14754;15318;16376
"Female";"Land Transport and Transport via Pipelines except  Transport via Buses";"Median Allowances";.;.;2073;2239;2395
"Female";"Transport via Buses";"Median Basic Pay";.;.;13062;10852;14498
"Female";"Transport via Buses";"Median Allowances";.;.;762;2136;a
"Female";"Water Transport";"Median Basic Pay";.;.;13910;14353;17814
"Female";"Water Transport";"Median Allowances";.;.;1567;2991;1441
"Female";"Air Transport";"Median Basic Pay";.;.;17493;24951;18879
"Female";"Air Transport";"Median Allowances";.;.;4094;1987;5245
"Female";"Warehousing and Support Activities for Transportation";"Median Basic Pay";.;.;15562;16838;18457
"Female";"Warehousing and Support Activities for Transportation";"Median Allowances";.;.;1131;1840;2160
"Female";"Postal and Courier Activities";"Median Basic Pay";.;.;13204;18016;15480
"Female";"Postal and Courier Activities";"Median Allowances";.;.;526;7096;1087
"Female";"Accommodation and Food Service Activities";"Median Basic Pay";.;.;12582;11534;12894
"Female";"Accommodation and Food Service Activities";"Median Allowances";.;.;1123;1495;1762
"Female";"Information and Communications";"Median Basic Pay";.;.;24897;24456;25631
"Female";"Information and Communications";"Median Allowances";.;.;1907;2802;2614
"Female";"Publishing Activities";"Median Basic Pay";.;.;20514;21682;22528
"Female";"Publishing Activities";"Median Allowances";.;.;2650;3257;3321
"Female";"Motion Picture, Video and Television Programme Production, Sound Recording and Music Publishing Activities except Animated Films and Cartoons Production; Programming and Broadcasting Activities";"Median Basic Pay";.;.;16349;19079;21039
"Female";"Motion Picture, Video and Television Programme Production, Sound Recording and Music Publishing Activities except Animated Films and Cartoons Production; Programming and Broadcasting Activities";"Median Allowances";.;.;473;2433;2044
"Female";"Animated Films and Cartoons Production";"Median Basic Pay";.;.;20947;20326;22200
"Female";"Animated Films and Cartoons Production";"Median Allowances";.;.;2582;2267;5167
"Female";"Telecommunications";"Median Basic Pay";.;.;33036;18653;24681
"Female";"Telecommunications";"Median Allowances";.;.;1727;3929;2304
"Female";"Computer Programming, Consultancy and Related Activities; Information Service Activities";"Median Basic Pay";.;.;24416;25837;.
"Female";"Computer Programming, Consultancy and Related Activities; Information Service Activities";"Median Allowances";.;.;2657;2779;.
"Female";"Computer Programming, Consultancy and Related Activities";"Median Basic Pay";.;.;.;.;33349
"Female";"Computer Programming, Consultancy and Related Activities";"Median Allowances";.;.;.;.;3145
"Female";"Information Service Activities";"Median Basic Pay";.;.;.;.;17355
"Female";"Information Service Activities";"Median Allowances";.;.;.;.;2585
"Female";"Financial and Insurance Activities";"Median Basic Pay";.;.;19295;17398;18676
"Female";"Financial and Insurance Activities";"Median Allowances";.;.;2530;2988;2347
"Female";"Financial Service Activities except Insurance, Pension Funding and Central Banking";"Median Basic Pay";.;.;18971;16650;17113
"Female";"Financial Service Activities except Insurance, Pension Funding and Central Banking";"Median Allowances";.;.;2789;2292;2191
"Female";"Insurance, Reinsurance and Pension Funding except Compulsory Social Security";"Median Basic Pay";.;.;21078;22259;27186
"Female";"Insurance, Reinsurance and Pension Funding except Compulsory Social Security";"Median Allowances";.;.;2376;6875;4224
"Female";"Activities Auxiliary to Financial Service and Insurance Activities";"Median Basic Pay";.;.;18815;19234;21829
"Female";"Activities Auxiliary to Financial Service and Insurance Activities";"Median Allowances";.;.;1657;8024;3403
"Female";"Real Estate Activities";"Median Basic Pay";.;.;19721;18452;20357
"Female";"Real Estate Activities";"Median Allowances";.;.;2232;3222;1924
"Female";"Professional, Scientific and Technical Activities";"Median Basic Pay";.;.;19940;19898;23924
"Female";"Professional, Scientific and Technical Activities";"Median Allowances";.;.;2415;2912;3170
"Female";"Professional, Scientific and Technical Activities except Accounting, Architectural and Engineering Activities";"Median Basic Pay";.;.;20794;25731;24766
"Female";"Professional, Scientific and Technical Activities except Accounting, Architectural and Engineering Activities";"Median Allowances";.;.;2239;3517;3070
"Female";"Accounting, Bookkeeping and Auditing Activities; Tax Consultancy";"Median Basic Pay";.;.;18132;19664;22455
"Female";"Accounting, Bookkeeping and Auditing Activities; Tax Consultancy";"Median Allowances";.;.;4469;2932;2921
"Female";"Architectural and Engineering Activities and Related Technical Consultancy";"Median Basic Pay";.;.;18814;15658;25094
"Female";"Architectural and Engineering Activities and Related Technical Consultancy";"Median Allowances";.;.;2382;2683;3231
"Female";"Administrative and Support Service Activities";"Median Basic Pay";.;.;14938;14548;15865
"Female";"Administrative and Support Service Activities";"Median Allowances";.;.;2190;2727;2757
"Female";"Rental and Leasing Activities; Security and Investigation Activities; Services to Buildings and Landscape Activities";"Median Basic Pay";.;.;13325;13283;14440
"Female";"Rental and Leasing Activities; Security and Investigation Activities; Services to Buildings and Landscape Activities";"Median Allowances";.;.;395;1854;1783
"Female";"Employment Activities";"Median Basic Pay";.;.;10658;11488;11887
"Female";"Employment Activities";"Median Allowances";.;.;426;998;4338
"Female";"Travel Agency, Tour Operator, Reservation Service and Related Activities";"Median Basic Pay";.;.;17143;18997;19078
"Female";"Travel Agency, Tour Operator, Reservation Service and Related Activities";"Median Allowances";.;.;2930;2563;3149
"Female";"Office Administrative, Office Support and Other Business Support Activities except Call Center Activities (Voice) and Medical Transcription Activities";"Median Basic Pay";.;.;16713;15726;23813
"Female";"Office Administrative, Office Support and Other Business Support Activities except Call Center Activities (Voice) and Medical Transcription Activities";"Median Allowances";.;.;5016;3504;2648
"Female";"Call Center Activities (Voice)";"Median Basic Pay";.;.;17951;17373;17823
"Female";"Call Center Activities (Voice)";"Median Allowances";.;.;2418;2758;2668
"Female";"Back-Office Operations Activities (Non-Voice) except Medical Transcription Activities";"Median Basic Pay";.;.;18743;24870;21493
"Female";"Back-Office Operations Activities (Non-Voice) except Medical Transcription Activities";"Median Allowances";.;.;3563;4178;3694
"Female";"Medical Transcription Activities";"Median Basic Pay";.;.;15659;14854;25271
"Female";"Medical Transcription Activities";"Median Allowances";.;.;3081;9932;5007
"Female";"Education Except Public Education";"Median Basic Pay";.;.;14357;15216;15613
"Female";"Education Except Public Education";"Median Allowances";.;.;1712;1940;2028
"Female";"Human Health and Social Work Activities";"Median Basic Pay";.;.;13476;14825;16220
"Female";"Human Health and Social Work Activities";"Median Allowances";.;.;1549;2000;2273
"Female";"Human Health Activities except Public Health Activities";"Median Basic Pay";.;.;13377;14620;16212
"Female";"Human Health Activities except Public Health Activities";"Median Allowances";.;.;1504;1956;2268
"Female";"Residential Care Activities; Social Work Activities without Accommodation";"Median Basic Pay";.;.;17995;16578;17011
"Female";"Residential Care Activities; Social Work Activities without Accommodation";"Median Allowances";.;.;2658;2486;2363
"Female";"Arts, Entertainment and Recreation";"Median Basic Pay";.;.;16249;16350;19099
"Female";"Arts, Entertainment and Recreation";"Median Allowances";.;.;1756;6418;5208
"Female";"Creative, Arts and Entertainment Activities";"Median Basic Pay";.;.;29972;30750;.
"Female";"Creative, Arts and Entertainment Activities";"Median Allowances";.;.;2204;2250;.
"Female";"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"Median Basic Pay";.;.;16121;16245;.
"Female";"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"Median Allowances";.;.;1743;6458;.
"Female";"Other Service Activities Except Activities of Membership Organizations";"Median Basic Pay";.;.;13558;16129;14244
"Female";"Other Service Activities Except Activities of Membership Organizations";"Median Allowances";.;.;481;1386;1435
"Female";"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Median Basic Pay";.;.;.;.;.
"Female";"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Median Allowances";.;.;.;.;.
"Female";"Repair of Computers and Personal Household Goods";"Median Basic Pay";.;.;16633;13918;15160
"Female";"Repair of Computers and Personal Household Goods";"Median Allowances";.;.;1138;1531;1322
"Female";"Other Personal Service Activities";"Median Basic Pay";.;.;13416;17230;14134
"Female";"Other Personal Service Activities";"Median Allowances";.;.;445;953;2300
