"Number of Establishments Employing 20 or More Workers with Employees Who Availed of ECP Services by Type and Duration When Service was Received and Major Industry Group, Philippines: 2015 - 2017"

"Type of Services (KAGABAY Program) Availed";"Duration When Service was Received";"Major Industry Group";"2017"
"Assistive Devices";"More than 12 months";"..Financial and Insurance Activities";..
"Assistive Devices";"More than 12 months";"..Real Estate Activities";..
"Assistive Devices";"More than 12 months";"..Professional, Scientific and Technical Activities";..
"Assistive Devices";"More than 12 months";"..Administrative and Support Service Activities";..
"Assistive Devices";"More than 12 months";"..Education Except Public Education";..
"Assistive Devices";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Assistive Devices";"More than 12 months";"..Arts, Entertainment and  Recreation";..
"Assistive Devices";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Assistive Devices";"Do not know";"ALL INDUSTRIES";78
"Assistive Devices";"Do not know";"..Agriculture, Forestry and Fishing";..
"Assistive Devices";"Do not know";"..Mining and Quarrying";..
"Assistive Devices";"Do not know";"..Manufacturing";11
"Assistive Devices";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Assistive Devices";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Assistive Devices";"Do not know";"..Construction";..
"Assistive Devices";"Do not know";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";17
"Assistive Devices";"Do not know";"..Transportation and Storage";8
"Assistive Devices";"Do not know";"..Accommodation and Food Service Activities";6
"Assistive Devices";"Do not know";"..Information and Communication";3
"Assistive Devices";"Do not know";"..Financial and Insurance Activities";13
"Assistive Devices";"Do not know";"..Real Estate Activities";..
"Assistive Devices";"Do not know";"..Professional, Scientific and Technical Activities";6
"Assistive Devices";"Do not know";"..Administrative and Support Service Activities";8
"Assistive Devices";"Do not know";"..Education Except Public Education";6
"Assistive Devices";"Do not know";"..Human Health and Social Work Activities Except Public Health Activities";..
"Assistive Devices";"Do not know";"..Arts, Entertainment and  Recreation";..
"Assistive Devices";"Do not know";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Medical Rehabilitation";"Less than one month";"ALL INDUSTRIES";651
"Medical Rehabilitation";"Less than one month";"..Agriculture, Forestry and Fishing";24
"Medical Rehabilitation";"Less than one month";"..Mining and Quarrying";9
"Medical Rehabilitation";"Less than one month";"..Manufacturing";148
"Medical Rehabilitation";"Less than one month";"..Electricity, Gas, Steam and Air Conditioning Supply";6
"Medical Rehabilitation";"Less than one month";"..Water Supply; Sewerage, Waste Management and Remediation Activities";7
"Medical Rehabilitation";"Less than one month";"..Construction";28
"Medical Rehabilitation";"Less than one month";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";143
"Medical Rehabilitation";"Less than one month";"..Transportation and Storage";22
"Medical Rehabilitation";"Less than one month";"..Accommodation and Food Service Activities";64
"Medical Rehabilitation";"Less than one month";"..Information and Communication";5
"Medical Rehabilitation";"Less than one month";"..Financial and Insurance Activities";27
"Medical Rehabilitation";"Less than one month";"..Real Estate Activities";14
"Medical Rehabilitation";"Less than one month";"..Professional, Scientific and Technical Activities";19
"Medical Rehabilitation";"Less than one month";"..Administrative and Support Service Activities";40
"Medical Rehabilitation";"Less than one month";"..Education Except Public Education";59
"Medical Rehabilitation";"Less than one month";"..Human Health and Social Work Activities Except Public Health Activities";25
"Medical Rehabilitation";"Less than one month";"..Arts, Entertainment and  Recreation";9
"Medical Rehabilitation";"Less than one month";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Medical Rehabilitation";"1 to 6 months";"ALL INDUSTRIES";1148
"Medical Rehabilitation";"1 to 6 months";"..Agriculture, Forestry and Fishing";54
"Medical Rehabilitation";"1 to 6 months";"..Mining and Quarrying";5
"Medical Rehabilitation";"1 to 6 months";"..Manufacturing";207
"Medical Rehabilitation";"1 to 6 months";"..Electricity, Gas, Steam and Air Conditioning Supply";17
"Medical Rehabilitation";"1 to 6 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";8
"Medical Rehabilitation";"1 to 6 months";"..Construction";43
"Medical Rehabilitation";"1 to 6 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";211
"Medical Rehabilitation";"1 to 6 months";"..Transportation and Storage";40
"Medical Rehabilitation";"1 to 6 months";"..Accommodation and Food Service Activities";174
"Medical Rehabilitation";"1 to 6 months";"..Information and Communication";18
"Medical Rehabilitation";"1 to 6 months";"..Financial and Insurance Activities";49
"Medical Rehabilitation";"1 to 6 months";"..Real Estate Activities";15
"Medical Rehabilitation";"1 to 6 months";"..Professional, Scientific and Technical Activities";12
"Medical Rehabilitation";"1 to 6 months";"..Administrative and Support Service Activities";113
"Medical Rehabilitation";"1 to 6 months";"..Education Except Public Education";120
"Medical Rehabilitation";"1 to 6 months";"..Human Health and Social Work Activities Except Public Health Activities";51
"Medical Rehabilitation";"1 to 6 months";"..Arts, Entertainment and  Recreation";6
"Medical Rehabilitation";"1 to 6 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";8
"Medical Rehabilitation";"7 to 12 months";"ALL INDUSTRIES";140
"Medical Rehabilitation";"7 to 12 months";"..Agriculture, Forestry and Fishing";9
"Medical Rehabilitation";"7 to 12 months";"..Mining and Quarrying";..
"Medical Rehabilitation";"7 to 12 months";"..Manufacturing";17
"Medical Rehabilitation";"7 to 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";6
"Medical Rehabilitation";"7 to 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";4
"Medical Rehabilitation";"7 to 12 months";"..Construction";6
"Medical Rehabilitation";"7 to 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";30
"Medical Rehabilitation";"7 to 12 months";"..Transportation and Storage";6
"Medical Rehabilitation";"7 to 12 months";"..Accommodation and Food Service Activities";8
"Medical Rehabilitation";"7 to 12 months";"..Information and Communication";2
"Medical Rehabilitation";"7 to 12 months";"..Financial and Insurance Activities";3
"Medical Rehabilitation";"7 to 12 months";"..Real Estate Activities";..
"Medical Rehabilitation";"7 to 12 months";"..Professional, Scientific and Technical Activities";..
"Medical Rehabilitation";"7 to 12 months";"..Administrative and Support Service Activities";3
"Medical Rehabilitation";"7 to 12 months";"..Education Except Public Education";30
"Medical Rehabilitation";"7 to 12 months";"..Human Health and Social Work Activities Except Public Health Activities";13
"Medical Rehabilitation";"7 to 12 months";"..Arts, Entertainment and  Recreation";..
"Medical Rehabilitation";"7 to 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";2
"Medical Rehabilitation";"More than 12 months";"ALL INDUSTRIES";28
"Medical Rehabilitation";"More than 12 months";"..Agriculture, Forestry and Fishing";..
"Medical Rehabilitation";"More than 12 months";"..Mining and Quarrying";..
"Medical Rehabilitation";"More than 12 months";"..Manufacturing";13
"Medical Rehabilitation";"More than 12 months";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Medical Rehabilitation";"More than 12 months";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Medical Rehabilitation";"More than 12 months";"..Construction";1
"Medical Rehabilitation";"More than 12 months";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6
"Medical Rehabilitation";"More than 12 months";"..Transportation and Storage";1
"Medical Rehabilitation";"More than 12 months";"..Accommodation and Food Service Activities";..
"Medical Rehabilitation";"More than 12 months";"..Information and Communication";..
"Medical Rehabilitation";"More than 12 months";"..Financial and Insurance Activities";..
"Medical Rehabilitation";"More than 12 months";"..Real Estate Activities";..
"Medical Rehabilitation";"More than 12 months";"..Professional, Scientific and Technical Activities";..
"Medical Rehabilitation";"More than 12 months";"..Administrative and Support Service Activities";..
"Medical Rehabilitation";"More than 12 months";"..Education Except Public Education";6
"Medical Rehabilitation";"More than 12 months";"..Human Health and Social Work Activities Except Public Health Activities";..
"Medical Rehabilitation";"More than 12 months";"..Arts, Entertainment and  Recreation";..
"Medical Rehabilitation";"More than 12 months";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Medical Rehabilitation";"Do not know";"ALL INDUSTRIES";175
"Medical Rehabilitation";"Do not know";"..Agriculture, Forestry and Fishing";1
"Medical Rehabilitation";"Do not know";"..Mining and Quarrying";..
"Medical Rehabilitation";"Do not know";"..Manufacturing";29
"Medical Rehabilitation";"Do not know";"..Electricity, Gas, Steam and Air Conditioning Supply";4
"Medical Rehabilitation";"Do not know";"..Water Supply; Sewerage, Waste Management and Remediation Activities";1
"Medical Rehabilitation";"Do not know";"..Construction";3
"Medical Rehabilitation";"Do not know";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";52
"Medical Rehabilitation";"Do not know";"..Transportation and Storage";9
"Medical Rehabilitation";"Do not know";"..Accommodation and Food Service Activities";23
"Medical Rehabilitation";"Do not know";"..Information and Communication";2
"Medical Rehabilitation";"Do not know";"..Financial and Insurance Activities";13
"Medical Rehabilitation";"Do not know";"..Real Estate Activities";..
"Medical Rehabilitation";"Do not know";"..Professional, Scientific and Technical Activities";6
"Medical Rehabilitation";"Do not know";"..Administrative and Support Service Activities";16
"Medical Rehabilitation";"Do not know";"..Education Except Public Education";13
"Medical Rehabilitation";"Do not know";"..Human Health and Social Work Activities Except Public Health Activities";3
"Medical Rehabilitation";"Do not know";"..Arts, Entertainment and  Recreation";..
"Medical Rehabilitation";"Do not know";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
