"Number of Establishments Employing 20 or More Workers with Productivity Improvement Program (PIP) by Usual Form of Non-Cash Incentive and Major Industry Group, Philippines:  2017 - 2019"

"Major Industry Group";"Type of Gainsharing Schemes/Practices";"Usual Form of Non-Cash Incentive";"2017";"2019"
"..Administrative and Support Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Education Except Public Education";"Gainsharing Practices";"Total";267;74
"..Education Except Public Education";"Gainsharing Practices";"..Grocery Items";81;56
"..Education Except Public Education";"Gainsharing Practices";"..Electronic Gadgets";13;0
"..Education Except Public Education";"Gainsharing Practices";"..Gift Certificate/Cheque";86;13
"..Education Except Public Education";"Gainsharing Practices";"..Subsidize Travel/Leisure";47;3
"..Education Except Public Education";"Gainsharing Practices";"..Home Appliance";1;3
"..Education Except Public Education";"Gainsharing Practices";"..Others";38;0
"..Education Except Public Education";"Profit Sharing";"Total";13;51
"..Education Except Public Education";"Profit Sharing";"..Grocery Items";7;51
"..Education Except Public Education";"Profit Sharing";"..Electronic Gadgets";0;0
"..Education Except Public Education";"Profit Sharing";"..Gift Certificate/Cheque";6;0
"..Education Except Public Education";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Education Except Public Education";"Profit Sharing";"..Home Appliance";0;0
"..Education Except Public Education";"Profit Sharing";"..Others";0;0
"..Education Except Public Education";"Other Type of Gainsharing Schemes/Practices";"Total";8;3
"..Education Except Public Education";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";2;0
"..Education Except Public Education";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Education Except Public Education";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;0
"..Education Except Public Education";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";5;0
"..Education Except Public Education";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Education Except Public Education";"Other Type of Gainsharing Schemes/Practices";"..Others";1;3
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"Total";100;110
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"..Grocery Items";34;94
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"..Gift Certificate/Cheque";42;8
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"..Subsidize Travel/Leisure";2;6
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"..Home Appliance";1;0
"..Human Health and Social Work Activities Except Public Health Activities";"Gainsharing Practices";"..Others";21;2
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing";"Total";15;5
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing";"..Grocery Items";7;3
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing";"..Electronic Gadgets";0;0
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing";"..Gift Certificate/Cheque";3;3
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing";"..Subsidize Travel/Leisure";3;0
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing";"..Home Appliance";0;0
"..Human Health and Social Work Activities Except Public Health Activities";"Profit Sharing";"..Others";1;0
"..Human Health and Social Work Activities Except Public Health Activities";"Other Type of Gainsharing Schemes/Practices";"Total";5;3
"..Human Health and Social Work Activities Except Public Health Activities";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";1;0
"..Human Health and Social Work Activities Except Public Health Activities";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Human Health and Social Work Activities Except Public Health Activities";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";3;3
"..Human Health and Social Work Activities Except Public Health Activities";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";1;0
"..Human Health and Social Work Activities Except Public Health Activities";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Human Health and Social Work Activities Except Public Health Activities";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"Total";21;0
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"..Grocery Items";11;0
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"..Gift Certificate/Cheque";5;0
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"..Subsidize Travel/Leisure";4;0
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"..Home Appliance";0;0
"..Arts, Entertainment and  Recreation";"Gainsharing Practices";"..Others";0;0
"..Arts, Entertainment and  Recreation";"Profit Sharing";"Total";5;0
"..Arts, Entertainment and  Recreation";"Profit Sharing";"..Grocery Items";0;0
"..Arts, Entertainment and  Recreation";"Profit Sharing";"..Electronic Gadgets";0;0
"..Arts, Entertainment and  Recreation";"Profit Sharing";"..Gift Certificate/Cheque";5;0
"..Arts, Entertainment and  Recreation";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Arts, Entertainment and  Recreation";"Profit Sharing";"..Home Appliance";0;0
"..Arts, Entertainment and  Recreation";"Profit Sharing";"..Others";0;0
"..Arts, Entertainment and  Recreation";"Other Type of Gainsharing Schemes/Practices";"Total";2;0
"..Arts, Entertainment and  Recreation";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;0
"..Arts, Entertainment and  Recreation";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Arts, Entertainment and  Recreation";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";2;0
"..Arts, Entertainment and  Recreation";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Arts, Entertainment and  Recreation";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Arts, Entertainment and  Recreation";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"Total";23;1
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"..Grocery Items";8;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"..Electronic Gadgets";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"..Gift Certificate/Cheque";9;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"..Subsidize Travel/Leisure";2;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"..Home Appliance";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Gainsharing Practices";"..Others";4;1
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing";"Total";0;18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing";"..Grocery Items";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing";"..Electronic Gadgets";0;18
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing";"..Gift Certificate/Cheque";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing";"..Subsidize Travel/Leisure";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing";"..Home Appliance";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Profit Sharing";"..Others";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Type of Gainsharing Schemes/Practices";"Total";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Grocery Items";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Electronic Gadgets";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Gift Certificate/Cheque";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Subsidize Travel/Leisure";0;0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Home Appliance";0;.
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Other Type of Gainsharing Schemes/Practices";"..Others";0;0
