"Number of Establishments with Productivity Improvement Program (PIP) by Size of Employment, Productivity Improvement Program and Major Industry Group, Philippines:  2017 - 2019"

"Size of Employment";"Major Industry Group";"Productivity Improvement Program";"2017";"2019"
"Employing 100-199 Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Total Quality Management (TQM)";20;6
"Employing 100-199 Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Lean Management/Lean Production";8;0
"Employing 100-199 Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Suggestion/Feedback Scheme";19;9
"Employing 100-199 Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Six Sigma";2;0
"Employing 100-199 Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Just-In-Time";1;0
"Employing 100-199 Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Continuous Process Improvement";20;6
"Employing 100-199 Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Others";3;2
"Employing 100-199 Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"None";.;17
"Employing 100-199 Workers";"..Construction";"Establishments with Productivity Improvement Program (PIP)";94;208
"Employing 100-199 Workers";"..Construction";"..5S of Good Housekeeping";51;.
"Employing 100-199 Workers";"..Construction";"..7S of Good Housekeeping";.;134
"Employing 100-199 Workers";"..Construction";"..Client Satisfaction Measurement (CSM)";31;120
"Employing 100-199 Workers";"..Construction";"..Total Quality Management (TQM)";30;131
"Employing 100-199 Workers";"..Construction";"..Lean Management/Lean Production";12;53
"Employing 100-199 Workers";"..Construction";"..Suggestion/Feedback Scheme";15;81
"Employing 100-199 Workers";"..Construction";"..Six Sigma";5;9
"Employing 100-199 Workers";"..Construction";"..Just-In-Time";21;45
"Employing 100-199 Workers";"..Construction";"..Continuous Process Improvement";36;49
"Employing 100-199 Workers";"..Construction";"..Others";0;2
"Employing 100-199 Workers";"..Construction";"None";.;191
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Establishments with Productivity Improvement Program (PIP)";490;428
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..5S of Good Housekeeping";298;.
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..7S of Good Housekeeping";.;263
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Client Satisfaction Measurement (CSM)";208;273
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Total Quality Management (TQM)";171;252
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Lean Management/Lean Production";64;97
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Suggestion/Feedback Scheme";161;218
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Six Sigma";18;98
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Just-In-Time";60;92
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Continuous Process Improvement";203;237
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Others";25;23
"Employing 100-199 Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"None";.;534
"Employing 100-199 Workers";"..Transportation and Storage";"Establishments with Productivity Improvement Program (PIP)";86;68
"Employing 100-199 Workers";"..Transportation and Storage";"..5S of Good Housekeeping";50;.
"Employing 100-199 Workers";"..Transportation and Storage";"..7S of Good Housekeeping";.;51
"Employing 100-199 Workers";"..Transportation and Storage";"..Client Satisfaction Measurement (CSM)";27;38
"Employing 100-199 Workers";"..Transportation and Storage";"..Total Quality Management (TQM)";24;25
"Employing 100-199 Workers";"..Transportation and Storage";"..Lean Management/Lean Production";7;8
"Employing 100-199 Workers";"..Transportation and Storage";"..Suggestion/Feedback Scheme";18;15
"Employing 100-199 Workers";"..Transportation and Storage";"..Six Sigma";1;5
"Employing 100-199 Workers";"..Transportation and Storage";"..Just-In-Time";7;8
"Employing 100-199 Workers";"..Transportation and Storage";"..Continuous Process Improvement";29;45
"Employing 100-199 Workers";"..Transportation and Storage";"..Others";1;20
"Employing 100-199 Workers";"..Transportation and Storage";"None";.;116
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"Establishments with Productivity Improvement Program (PIP)";181;114
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..5S of Good Housekeeping";128;.
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..7S of Good Housekeeping";.;42
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..Client Satisfaction Measurement (CSM)";93;83
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..Total Quality Management (TQM)";96;11
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..Lean Management/Lean Production";38;0
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..Suggestion/Feedback Scheme";88;11
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..Six Sigma";20;10
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..Just-In-Time";20;0
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..Continuous Process Improvement";70;21
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"..Others";5;0
"Employing 100-199 Workers";"..Accommodation and Food Service Activities";"None";.;285
"Employing 100-199 Workers";"..Information and Communication";"Establishments with Productivity Improvement Program (PIP)";52;62
"Employing 100-199 Workers";"..Information and Communication";"..5S of Good Housekeeping";20;.
"Employing 100-199 Workers";"..Information and Communication";"..7S of Good Housekeeping";.;42
"Employing 100-199 Workers";"..Information and Communication";"..Client Satisfaction Measurement (CSM)";17;53
"Employing 100-199 Workers";"..Information and Communication";"..Total Quality Management (TQM)";13;60
"Employing 100-199 Workers";"..Information and Communication";"..Lean Management/Lean Production";9;38
"Employing 100-199 Workers";"..Information and Communication";"..Suggestion/Feedback Scheme";24;41
"Employing 100-199 Workers";"..Information and Communication";"..Six Sigma";1;39
"Employing 100-199 Workers";"..Information and Communication";"..Just-In-Time";1;2
"Employing 100-199 Workers";"..Information and Communication";"..Continuous Process Improvement";22;61
"Employing 100-199 Workers";"..Information and Communication";"..Others";4;2
"Employing 100-199 Workers";"..Information and Communication";"None";.;123
"Employing 100-199 Workers";"..Financial and Insurance Activities";"Establishments with Productivity Improvement Program (PIP)";77;56
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..5S of Good Housekeeping";45;.
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..7S of Good Housekeeping";.;3
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..Client Satisfaction Measurement (CSM)";39;11
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..Total Quality Management (TQM)";25;7
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..Lean Management/Lean Production";8;1
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..Suggestion/Feedback Scheme";27;30
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..Six Sigma";6;7
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..Just-In-Time";5;0
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..Continuous Process Improvement";33;3
"Employing 100-199 Workers";"..Financial and Insurance Activities";"..Others";5;14
"Employing 100-199 Workers";"..Financial and Insurance Activities";"None";.;125
"Employing 100-199 Workers";"..Real Estate Activities";"Establishments with Productivity Improvement Program (PIP)";37;11
"Employing 100-199 Workers";"..Real Estate Activities";"..5S of Good Housekeeping";27;.
"Employing 100-199 Workers";"..Real Estate Activities";"..7S of Good Housekeeping";.;1
"Employing 100-199 Workers";"..Real Estate Activities";"..Client Satisfaction Measurement (CSM)";17;4
"Employing 100-199 Workers";"..Real Estate Activities";"..Total Quality Management (TQM)";7;3
"Employing 100-199 Workers";"..Real Estate Activities";"..Lean Management/Lean Production";9;4
"Employing 100-199 Workers";"..Real Estate Activities";"..Suggestion/Feedback Scheme";8;8
"Employing 100-199 Workers";"..Real Estate Activities";"..Six Sigma";2;3
"Employing 100-199 Workers";"..Real Estate Activities";"..Just-In-Time";10;3
"Employing 100-199 Workers";"..Real Estate Activities";"..Continuous Process Improvement";9;7
"Employing 100-199 Workers";"..Real Estate Activities";"..Others";0;0
"Employing 100-199 Workers";"..Real Estate Activities";"None";.;61
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"Establishments with Productivity Improvement Program (PIP)";60;25
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..5S of Good Housekeeping";38;.
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..7S of Good Housekeeping";.;17
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..Client Satisfaction Measurement (CSM)";21;10
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..Total Quality Management (TQM)";19;10
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..Lean Management/Lean Production";8;8
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..Suggestion/Feedback Scheme";23;11
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..Six Sigma";3;5
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..Just-In-Time";7;8
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..Continuous Process Improvement";26;16
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"..Others";2;3
"Employing 100-199 Workers";"..Professional, Scientific and Technical Activities";"None";.;72
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"Establishments with Productivity Improvement Program (PIP)";122;193
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..5S of Good Housekeeping";55;.
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..7S of Good Housekeeping";.;97
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..Client Satisfaction Measurement (CSM)";55;117
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..Total Quality Management (TQM)";44;117
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..Lean Management/Lean Production";19;60
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..Suggestion/Feedback Scheme";41;132
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..Six Sigma";9;26
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..Just-In-Time";19;41
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..Continuous Process Improvement";48;95
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"..Others";5;22
"Employing 100-199 Workers";"..Administrative and Support Service Activities";"None";.;220
"Employing 100-199 Workers";"..Education Except Public Education";"Establishments with Productivity Improvement Program (PIP)";190;138
"Employing 100-199 Workers";"..Education Except Public Education";"..5S of Good Housekeeping";106;.
"Employing 100-199 Workers";"..Education Except Public Education";"..7S of Good Housekeeping";.;75
"Employing 100-199 Workers";"..Education Except Public Education";"..Client Satisfaction Measurement (CSM)";67;56
"Employing 100-199 Workers";"..Education Except Public Education";"..Total Quality Management (TQM)";82;81
"Employing 100-199 Workers";"..Education Except Public Education";"..Lean Management/Lean Production";22;24
"Employing 100-199 Workers";"..Education Except Public Education";"..Suggestion/Feedback Scheme";54;62
"Employing 100-199 Workers";"..Education Except Public Education";"..Six Sigma";8;8
"Employing 100-199 Workers";"..Education Except Public Education";"..Just-In-Time";21;27
"Employing 100-199 Workers";"..Education Except Public Education";"..Continuous Process Improvement";101;53
"Employing 100-199 Workers";"..Education Except Public Education";"..Others";6;8
"Employing 100-199 Workers";"..Education Except Public Education";"None";.;210
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"Establishments with Productivity Improvement Program (PIP)";119;81
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..5S of Good Housekeeping";60;.
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..7S of Good Housekeeping";.;43
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Client Satisfaction Measurement (CSM)";73;49
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Total Quality Management (TQM)";55;40
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Lean Management/Lean Production";2;13
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Suggestion/Feedback Scheme";68;44
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Six Sigma";5;10
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Just-In-Time";5;13
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Continuous Process Improvement";49;35
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"..Others";2;3
"Employing 100-199 Workers";"..Human Health and Social Work Activities Except Public Health Activities";"None";.;88
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"Establishments with Productivity Improvement Program (PIP)";20;12
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..5S of Good Housekeeping";13;.
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..7S of Good Housekeeping";.;12
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..Client Satisfaction Measurement (CSM)";9;8
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..Total Quality Management (TQM)";2;4
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..Lean Management/Lean Production";0;4
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..Suggestion/Feedback Scheme";4;4
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..Six Sigma";0;0
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..Just-In-Time";2;4
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..Continuous Process Improvement";4;4
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"..Others";0;0
"Employing 100-199 Workers";"..Arts, Entertainment and  Recreation";"None";.;9
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Establishments with Productivity Improvement Program (PIP)";12;14
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..5S of Good Housekeeping";12;.
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..7S of Good Housekeeping";.;1
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Client Satisfaction Measurement (CSM)";6;3
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Total Quality Management (TQM)";5;2
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Lean Management/Lean Production";1;0
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Suggestion/Feedback Scheme";6;0
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Six Sigma";3;0
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Just-In-Time";1;11
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Continuous Process Improvement";8;11
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Others";0;0
"Employing 100-199 Workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"None";.;7
"Employing 200 and Over Workers";"ALL INDUSTRIES";"Establishments with Productivity Improvement Program (PIP)";2498;2155
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..5S of Good Housekeeping";1773;.
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..7S of Good Housekeeping";.;1228
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..Client Satisfaction Measurement (CSM)";1006;1011
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..Total Quality Management (TQM)";1022;1033
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..Lean Management/Lean Production";467;469
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..Suggestion/Feedback Scheme";867;1024
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..Six Sigma";269;356
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..Just-In-Time";335;393
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..Continuous Process Improvement";1185;1136
"Employing 200 and Over Workers";"ALL INDUSTRIES";"..Others";175;185
"Employing 200 and Over Workers";"ALL INDUSTRIES";"None";.;2707
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"Establishments with Productivity Improvement Program (PIP)";79;36
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..5S of Good Housekeeping";67;.
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..7S of Good Housekeeping";.;17
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..Client Satisfaction Measurement (CSM)";17;15
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..Total Quality Management (TQM)";38;25
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..Lean Management/Lean Production";21;8
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..Suggestion/Feedback Scheme";16;15
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..Six Sigma";6;8
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..Just-In-Time";9;9
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..Continuous Process Improvement";30;16
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"..Others";4;2
"Employing 200 and Over Workers";"..Agriculture, Forestry and Fishing";"None";.;104
"Employing 200 and Over Workers";"..Mining and Quarrying";"Establishments with Productivity Improvement Program (PIP)";11;10
"Employing 200 and Over Workers";"..Mining and Quarrying";"..5S of Good Housekeeping";8;.
"Employing 200 and Over Workers";"..Mining and Quarrying";"..7S of Good Housekeeping";.;7
"Employing 200 and Over Workers";"..Mining and Quarrying";"..Client Satisfaction Measurement (CSM)";0;2
"Employing 200 and Over Workers";"..Mining and Quarrying";"..Total Quality Management (TQM)";4;5
"Employing 200 and Over Workers";"..Mining and Quarrying";"..Lean Management/Lean Production";0;0
"Employing 200 and Over Workers";"..Mining and Quarrying";"..Suggestion/Feedback Scheme";5;2
"Employing 200 and Over Workers";"..Mining and Quarrying";"..Six Sigma";0;0
"Employing 200 and Over Workers";"..Mining and Quarrying";"..Just-In-Time";1;2
"Employing 200 and Over Workers";"..Mining and Quarrying";"..Continuous Process Improvement";1;7
"Employing 200 and Over Workers";"..Mining and Quarrying";"..Others";0;0
"Employing 200 and Over Workers";"..Mining and Quarrying";"None";.;29
"Employing 200 and Over Workers";"..Manufacturing";"Establishments with Productivity Improvement Program (PIP)";751;554
"Employing 200 and Over Workers";"..Manufacturing";"..5S of Good Housekeeping";651;.
"Employing 200 and Over Workers";"..Manufacturing";"..7S of Good Housekeeping";.;366
"Employing 200 and Over Workers";"..Manufacturing";"..Client Satisfaction Measurement (CSM)";217;207
"Employing 200 and Over Workers";"..Manufacturing";"..Total Quality Management (TQM)";337;264
"Employing 200 and Over Workers";"..Manufacturing";"..Lean Management/Lean Production";177;172
"Employing 200 and Over Workers";"..Manufacturing";"..Suggestion/Feedback Scheme";270;246
"Employing 200 and Over Workers";"..Manufacturing";"..Six Sigma";82;95
"Employing 200 and Over Workers";"..Manufacturing";"..Just-In-Time";137;108
"Employing 200 and Over Workers";"..Manufacturing";"..Continuous Process Improvement";420;303
"Employing 200 and Over Workers";"..Manufacturing";"..Others";51;61
"Employing 200 and Over Workers";"..Manufacturing";"None";.;465
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"Establishments with Productivity Improvement Program (PIP)";57;40
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..5S of Good Housekeeping";37;.
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..7S of Good Housekeeping";.;19
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Client Satisfaction Measurement (CSM)";29;24
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Total Quality Management (TQM)";22;10
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Lean Management/Lean Production";8;7
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Suggestion/Feedback Scheme";17;20
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Six Sigma";4;1
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Just-In-Time";4;1
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Continuous Process Improvement";20;16
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Others";4;4
"Employing 200 and Over Workers";"..Electricity, Gas, Steam and Air Conditioning Supply";"None";.;44
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Establishments with Productivity Improvement Program (PIP)";17;16
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..5S of Good Housekeeping";10;.
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..7S of Good Housekeeping";.;5
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Client Satisfaction Measurement (CSM)";10;7
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Total Quality Management (TQM)";11;5
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Lean Management/Lean Production";1;1
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Suggestion/Feedback Scheme";10;5
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Six Sigma";1;0
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Just-In-Time";1;2
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Continuous Process Improvement";8;11
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Others";2;3
"Employing 200 and Over Workers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"None";.;17
"Employing 200 and Over Workers";"..Construction";"Establishments with Productivity Improvement Program (PIP)";127;156
"Employing 200 and Over Workers";"..Construction";"..5S of Good Housekeeping";82;.
"Employing 200 and Over Workers";"..Construction";"..7S of Good Housekeeping";.;103
"Employing 200 and Over Workers";"..Construction";"..Client Satisfaction Measurement (CSM)";42;64
"Employing 200 and Over Workers";"..Construction";"..Total Quality Management (TQM)";58;107
"Employing 200 and Over Workers";"..Construction";"..Lean Management/Lean Production";12;20
"Employing 200 and Over Workers";"..Construction";"..Suggestion/Feedback Scheme";21;48
"Employing 200 and Over Workers";"..Construction";"..Six Sigma";7;17
"Employing 200 and Over Workers";"..Construction";"..Just-In-Time";16;34
"Employing 200 and Over Workers";"..Construction";"..Continuous Process Improvement";55;58
"Employing 200 and Over Workers";"..Construction";"..Others";2;6
"Employing 200 and Over Workers";"..Construction";"None";.;168
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Establishments with Productivity Improvement Program (PIP)";323;267
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..5S of Good Housekeeping";184;.
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..7S of Good Housekeeping";.;118
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Client Satisfaction Measurement (CSM)";123;76
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Total Quality Management (TQM)";88;84
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Lean Management/Lean Production";44;44
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Suggestion/Feedback Scheme";117;157
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Six Sigma";27;16
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Just-In-Time";26;25
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Continuous Process Improvement";156;161
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Others";46;50
"Employing 200 and Over Workers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"None";.;318
"Employing 200 and Over Workers";"..Transportation and Storage";"Establishments with Productivity Improvement Program (PIP)";81;71
"Employing 200 and Over Workers";"..Transportation and Storage";"..5S of Good Housekeeping";55;.
"Employing 200 and Over Workers";"..Transportation and Storage";"..7S of Good Housekeeping";.;39
"Employing 200 and Over Workers";"..Transportation and Storage";"..Client Satisfaction Measurement (CSM)";36;44
"Employing 200 and Over Workers";"..Transportation and Storage";"..Total Quality Management (TQM)";33;43
"Employing 200 and Over Workers";"..Transportation and Storage";"..Lean Management/Lean Production";19;32
"Employing 200 and Over Workers";"..Transportation and Storage";"..Suggestion/Feedback Scheme";24;45
"Employing 200 and Over Workers";"..Transportation and Storage";"..Six Sigma";4;5
"Employing 200 and Over Workers";"..Transportation and Storage";"..Just-In-Time";13;30
"Employing 200 and Over Workers";"..Transportation and Storage";"..Continuous Process Improvement";36;38
"Employing 200 and Over Workers";"..Transportation and Storage";"..Others";6;0
"Employing 200 and Over Workers";"..Transportation and Storage";"None";.;118
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"Establishments with Productivity Improvement Program (PIP)";68;93
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..5S of Good Housekeeping";42;.
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..7S of Good Housekeeping";.;78
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..Client Satisfaction Measurement (CSM)";37;26
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..Total Quality Management (TQM)";22;64
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..Lean Management/Lean Production";14;13
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..Suggestion/Feedback Scheme";24;64
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..Six Sigma";1;41
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..Just-In-Time";5;9
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..Continuous Process Improvement";41;34
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"..Others";12;2
"Employing 200 and Over Workers";"..Accommodation and Food Service Activities";"None";.;74
"Employing 200 and Over Workers";"..Information and Communication";"Establishments with Productivity Improvement Program (PIP)";61;51
"Employing 200 and Over Workers";"..Information and Communication";"..5S of Good Housekeeping";37;.
"Employing 200 and Over Workers";"..Information and Communication";"..7S of Good Housekeeping";.;23
"Employing 200 and Over Workers";"..Information and Communication";"..Client Satisfaction Measurement (CSM)";32;24
"Employing 200 and Over Workers";"..Information and Communication";"..Total Quality Management (TQM)";19;21
"Employing 200 and Over Workers";"..Information and Communication";"..Lean Management/Lean Production";12;17
"Employing 200 and Over Workers";"..Information and Communication";"..Suggestion/Feedback Scheme";27;30
