"Average Monthly Wage Rates of Benchmark Occupations by Industry: 2014 to 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__OWS/0031B3E1030.px/table/tableViewLayout1/?rxid=d59b8c8a-ad5d-40c6-b7a2-5d9c9b20b37f"
"Industries";"Benchmark Occupations";"2014";"2016";"2018";"2020";"2022"
"Residential Care Activities; Social Work Activities without Accommodation";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";15941;9851;9457;14888;.
"Residential Care Activities; Social Work Activities without Accommodation";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;11228
"Arts, Entertainment and Recreation";"..Accounting and Bookkeeping Clerks";12596;19382;16045;17133;18763
"Arts, Entertainment and Recreation";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";10947;10538;11479;11545;.
"Arts, Entertainment and Recreation";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;13303
"Creative, Arts and Entertainment Activities";"..Accounting and Bookkeeping Clerks";16714;20471;18553;17000;.
"Creative, Arts and Entertainment Activities";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";..;..;14909;9785;.
"Creative, Arts and Entertainment Activities";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;.
"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"..Accounting and Bookkeeping Clerks";12515;19301;16030;17133;.
"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";10947;10550;11463;11716;.
"Libraries, Archives, Museums and Other Cultural Activities; Gambling and Betting Activities; Sports Activities and Amusement and Recreational Activities";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;.
"Other Service Activities Except Activities of Membership Organizations";"..Accounting and Bookkeeping Clerks";..;..;17272;15038;21509
"Other Service Activities Except Activities of Membership Organizations";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";..;..;11714;13039;.
"Other Service Activities Except Activities of Membership Organizations";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;13579
"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Accounting and Bookkeeping Clerks";13801;15509;.;.;.
"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";9315;7825;.;.;.
"Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;.
"Repair of Computers and Personal and Household Goods";"..Accounting and Bookkeeping Clerks";..;..;21296;15693;25436
"Repair of Computers and Personal and Household Goods";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";..;..;13217;13123;.
"Repair of Computers and Personal and Household Goods";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;14331
"Other Personal Service Activities";"..Accounting and Bookkeeping Clerks";..;..;15296;14962;15487
"Other Personal Service Activities";"..Unskilled Workers except Janitors, Messengers and Freight Handlers";..;..;10944;13001;.
"Other Personal Service Activities";"..Elementary Occupations (Unskilled Workers)";.;.;.;.;13136
