"Number of Establishments Employing 20 or More Workers With Preventive and Control Measures/Activities Against Work Safety and Health Hazards by Type of Activity Conducted and Major Industry Group, Philippines: 2012-2013 to 2017"

"Preventive and Control Measures/Activities";"Major Industry Group";"2013";"2015";"2017"
"Periodic/annual medical exam of workers";"..Real Estate Activities";385;296;339
"Periodic/annual medical exam of workers";"..Professional, Scientific and Technical Activities";481;552;544
"Periodic/annual medical exam of workers";"..Administrative and Support Service Activities";1593;1464;1560
"Periodic/annual medical exam of workers";"..Education Except Public Education";2778;2354;2427
"Periodic/annual medical exam of workers";"..Human Health and Social Work Activities Except Public Health Activities";827;854;882
"Periodic/annual medical exam of workers";"..Arts, Entertainment and  Recreation";203;173;178
"Periodic/annual medical exam of workers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";306;267;257
"Hepatitis B education in the workplace";"Number of Establishments with Preventive and Control Measures/ Activities";11208;13653;16895
"Hepatitis B education in the workplace";"..Agriculture, Forestry and Fishing";237;287;355
"Hepatitis B education in the workplace";"..Mining and Quarrying";41;63;83
"Hepatitis B education in the workplace";"..Manufacturing";2047;2725;3350
"Hepatitis B education in the workplace";"..Electricity, Gas, Steam and Air Conditioning Supply";235;127;180
"Hepatitis B education in the workplace";"..Water Supply; Sewerage, Waste Management and Remediation Activities";53;67;70
"Hepatitis B education in the workplace";"..Construction";404;445;485
"Hepatitis B education in the workplace";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2158;2910;4031
"Hepatitis B education in the workplace";"..Transportation and Storage";352;392;544
"Hepatitis B education in the workplace";"..Accommodation and Food Service Activities";2083;2366;2776
"Hepatitis B education in the workplace";"..Information and Communication";275;337;390
"Hepatitis B education in the workplace";"..Financial and Insurance Activities";208;577;553
"Hepatitis B education in the workplace";"..Real Estate Activities";111;134;205
"Hepatitis B education in the workplace";"..Professional, Scientific and Technical Activities";200;252;325
"Hepatitis B education in the workplace";"..Administrative and Support Service Activities";790;982;1168
"Hepatitis B education in the workplace";"..Education Except Public Education";1116;1047;1267
"Hepatitis B education in the workplace";"..Human Health and Social Work Activities Except Public Health Activities";701;716;796
"Hepatitis B education in the workplace";"..Arts, Entertainment and  Recreation";53;90;119
"Hepatitis B education in the workplace";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";145;134;199
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"Number of Establishments with Preventive and Control Measures/ Activities";16004;17605;20343
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Agriculture, Forestry and Fishing";671;529;655
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Mining and Quarrying";124;88;108
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Manufacturing";4422;4401;4517
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Electricity, Gas, Steam and Air Conditioning Supply";277;178;218
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Water Supply; Sewerage, Waste Management and Remediation Activities";180;219;226
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Construction";564;656;689
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2661;3472;4687
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Transportation and Storage";557;496;628
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Accommodation and Food Service Activities";2740;2882;3110
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Information and Communication";201;253;314
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Financial and Insurance Activities";156;426;448
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Real Estate Activities";163;146;239
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Professional, Scientific and Technical Activities";197;266;330
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Administrative and Support Service Activities";536;768;1007
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Education Except Public Education";1413;1679;1937
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Human Health and Social Work Activities Except Public Health Activities";793;810;885
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Arts, Entertainment and  Recreation";108;116;128
"Practice proper handling of chemicals/hazardous materials (e.g., appropriate labels, handling and storage)";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";241;219;218
"Use of safety manuals, labels or maintenance procedures";"Number of Establishments with Preventive and Control Measures/ Activities";19283;20136;22418
"Use of safety manuals, labels or maintenance procedures";"..Agriculture, Forestry and Fishing";719;577;657
"Use of safety manuals, labels or maintenance procedures";"..Mining and Quarrying";129;103;118
"Use of safety manuals, labels or maintenance procedures";"..Manufacturing";4624;4741;4792
"Use of safety manuals, labels or maintenance procedures";"..Electricity, Gas, Steam and Air Conditioning Supply";305;226;238
"Use of safety manuals, labels or maintenance procedures";"..Water Supply; Sewerage, Waste Management and Remediation Activities";169;185;218
"Use of safety manuals, labels or maintenance procedures";"..Construction";899;800;773
"Use of safety manuals, labels or maintenance procedures";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3526;4242;5317
"Use of safety manuals, labels or maintenance procedures";"..Transportation and Storage";645;632;743
"Use of safety manuals, labels or maintenance procedures";"..Accommodation and Food Service Activities";3084;3149;3299
"Use of safety manuals, labels or maintenance procedures";"..Information and Communication";360;353;429
"Use of safety manuals, labels or maintenance procedures";"..Financial and Insurance Activities";345;637;581
"Use of safety manuals, labels or maintenance procedures";"..Real Estate Activities";270;206;297
"Use of safety manuals, labels or maintenance procedures";"..Professional, Scientific and Technical Activities";282;366;402
"Use of safety manuals, labels or maintenance procedures";"..Administrative and Support Service Activities";879;974;1218
"Use of safety manuals, labels or maintenance procedures";"..Education Except Public Education";1807;1805;2089
"Use of safety manuals, labels or maintenance procedures";"..Human Health and Social Work Activities Except Public Health Activities";809;839;901
"Use of safety manuals, labels or maintenance procedures";"..Arts, Entertainment and  Recreation";189;135;142
"Use of safety manuals, labels or maintenance procedures";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";241;166;206
"Use of safety data sheet for chemicals";"Number of Establishments with Preventive and Control Measures/ Activities";12049;14211;17616
"Use of safety data sheet for chemicals";"..Agriculture, Forestry and Fishing";580;440;560
"Use of safety data sheet for chemicals";"..Mining and Quarrying";98;76;99
"Use of safety data sheet for chemicals";"..Manufacturing";3812;3862;4146
"Use of safety data sheet for chemicals";"..Electricity, Gas, Steam and Air Conditioning Supply";248;150;194
"Use of safety data sheet for chemicals";"..Water Supply; Sewerage, Waste Management and Remediation Activities";126;174;177
"Use of safety data sheet for chemicals";"..Construction";283;550;586
"Use of safety data sheet for chemicals";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1844;2621;4048
"Use of safety data sheet for chemicals";"..Transportation and Storage";385;367;528
"Use of safety data sheet for chemicals";"..Accommodation and Food Service Activities";1942;2466;2763
"Use of safety data sheet for chemicals";"..Information and Communication";163;208;248
"Use of safety data sheet for chemicals";"..Financial and Insurance Activities";146;280;352
"Use of safety data sheet for chemicals";"..Real Estate Activities";121;106;205
"Use of safety data sheet for chemicals";"..Professional, Scientific and Technical Activities";161;182;256
"Use of safety data sheet for chemicals";"..Administrative and Support Service Activities";296;584;848
"Use of safety data sheet for chemicals";"..Education Except Public Education";1055;1232;1580
"Use of safety data sheet for chemicals";"..Human Health and Social Work Activities Except Public Health Activities";622;717;765
"Use of safety data sheet for chemicals";"..Arts, Entertainment and  Recreation";63;86;107
"Use of safety data sheet for chemicals";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";104;110;154
"Perform corrective action programs and audits";"Number of Establishments with Preventive and Control Measures/ Activities";19442;19757;21974
"Perform corrective action programs and audits";"..Agriculture, Forestry and Fishing";663;511;631
"Perform corrective action programs and audits";"..Mining and Quarrying";107;107;110
"Perform corrective action programs and audits";"..Manufacturing";4131;4294;4517
"Perform corrective action programs and audits";"..Electricity, Gas, Steam and Air Conditioning Supply";313;210;242
"Perform corrective action programs and audits";"..Water Supply; Sewerage, Waste Management and Remediation Activities";193;186;197
"Perform corrective action programs and audits";"..Construction";764;687;715
"Perform corrective action programs and audits";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3678;4144;5176
"Perform corrective action programs and audits";"..Transportation and Storage";683;578;745
"Perform corrective action programs and audits";"..Accommodation and Food Service Activities";2921;3045;3249
"Perform corrective action programs and audits";"..Information and Communication";438;433;453
"Perform corrective action programs and audits";"..Financial and Insurance Activities";748;953;789
"Perform corrective action programs and audits";"..Real Estate Activities";321;249;314
"Perform corrective action programs and audits";"..Professional, Scientific and Technical Activities";362;361;414
"Perform corrective action programs and audits";"..Administrative and Support Service Activities";1143;1080;1259
"Perform corrective action programs and audits";"..Education Except Public Education";1895;1887;1984
"Perform corrective action programs and audits";"..Human Health and Social Work Activities Except Public Health Activities";698;763;817
"Perform corrective action programs and audits";"..Arts, Entertainment and  Recreation";175;136;148
"Perform corrective action programs and audits";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";210;136;216
"Proper maintenance of mechanical and electrical facilities";"Number of Establishments with Preventive and Control Measures/ Activities";24679;23230;24656
"Proper maintenance of mechanical and electrical facilities";"..Agriculture, Forestry and Fishing";1003;692;717
"Proper maintenance of mechanical and electrical facilities";"..Mining and Quarrying";156;132;127
"Proper maintenance of mechanical and electrical facilities";"..Manufacturing";5421;4969;5136
"Proper maintenance of mechanical and electrical facilities";"..Electricity, Gas, Steam and Air Conditioning Supply";340;226;258
"Proper maintenance of mechanical and electrical facilities";"..Water Supply; Sewerage, Waste Management and Remediation Activities";243;231;241
"Proper maintenance of mechanical and electrical facilities";"..Construction";906;839;805
"Proper maintenance of mechanical and electrical facilities";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4880;5105;5834
"Proper maintenance of mechanical and electrical facilities";"..Transportation and Storage";804;738;805
"Proper maintenance of mechanical and electrical facilities";"..Accommodation and Food Service Activities";3700;3397;3457
"Proper maintenance of mechanical and electrical facilities";"..Information and Communication";552;541;543
"Proper maintenance of mechanical and electrical facilities";"..Financial and Insurance Activities";660;915;761
"Proper maintenance of mechanical and electrical facilities";"..Real Estate Activities";364;262;346
"Proper maintenance of mechanical and electrical facilities";"..Professional, Scientific and Technical Activities";323;453;494
"Proper maintenance of mechanical and electrical facilities";"..Administrative and Support Service Activities";1176;1064;1273
"Proper maintenance of mechanical and electrical facilities";"..Education Except Public Education";2879;2401;2509
"Proper maintenance of mechanical and electrical facilities";"..Human Health and Social Work Activities Except Public Health Activities";831;855;926
"Proper maintenance of mechanical and electrical facilities";"..Arts, Entertainment and  Recreation";208;160;168
"Proper maintenance of mechanical and electrical facilities";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";233;250;255
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"Number of Establishments with Preventive and Control Measures/ Activities";16327;17192;19575
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Agriculture, Forestry and Fishing";673;584;606
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Mining and Quarrying";159;116;120
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Manufacturing";4444;4482;4699
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Electricity, Gas, Steam and Air Conditioning Supply";343;240;253
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Water Supply; Sewerage, Waste Management and Remediation Activities";186;197;202
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Construction";999;864;837
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2830;3528;4501
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Transportation and Storage";694;619;745
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Accommodation and Food Service Activities";2102;2500;2742
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Information and Communication";292;308;356
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Financial and Insurance Activities";246;369;401
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Real Estate Activities";268;245;315
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Professional, Scientific and Technical Activities";230;284;331
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Administrative and Support Service Activities";858;813;1018
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Education Except Public Education";918;1099;1313
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Human Health and Social Work Activities Except Public Health Activities";724;693;813
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Arts, Entertainment and  Recreation";146;121;128
"Provision of appropriate personal protective equipment (PPE) such as hard hats, safety shoes, safety goggles, gloves, etc.";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";217;128;196
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"Number of Establishments with Preventive and Control Measures/ Activities";7792;10628;13847
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Agriculture, Forestry and Fishing";228;281;399
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Mining and Quarrying";43;62;72
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Manufacturing";1686;2338;2902
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Electricity, Gas, Steam and Air Conditioning Supply";209;128;168
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Water Supply; Sewerage, Waste Management and Remediation Activities";65;70;74
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Construction";341;363;421
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1622;2253;3301
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Transportation and Storage";253;344;523
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Accommodation and Food Service Activities";1037;1615;2058
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Information and Communication";123;214;270
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Financial and Insurance Activities";105;378;383
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Real Estate Activities";109;117;164
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Professional, Scientific and Technical Activities";83;170;234
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Administrative and Support Service Activities";458;721;921
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Education Except Public Education";680;718;988
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Human Health and Social Work Activities Except Public Health Activities";644;690;734
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Arts, Entertainment and  Recreation";20;89;95
"Adoption of DOTS (Directly Observed Treatment Short Course) in management or referral of workers with tuberculosis";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";84;79;140
"Random drug testing of officers and employees";"Number of Establishments with Preventive and Control Measures/ Activities";15606;16211;19104
"Random drug testing of officers and employees";"..Agriculture, Forestry and Fishing";312;348;483
"Random drug testing of officers and employees";"..Mining and Quarrying";66;64;98
"Random drug testing of officers and employees";"..Manufacturing";3219;3411;3841
"Random drug testing of officers and employees";"..Electricity, Gas, Steam and Air Conditioning Supply";301;183;224
"Random drug testing of officers and employees";"..Water Supply; Sewerage, Waste Management and Remediation Activities";170;136;220
"Random drug testing of officers and employees";"..Construction";574;580;630
"Random drug testing of officers and employees";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3377;3754;4832
"Random drug testing of officers and employees";"..Transportation and Storage";644;680;789
"Random drug testing of officers and employees";"..Accommodation and Food Service Activities";2623;2702;2810
"Random drug testing of officers and employees";"..Information and Communication";442;442;458
"Random drug testing of officers and employees";"..Financial and Insurance Activities";291;605;684
"Random drug testing of officers and employees";"..Real Estate Activities";203;195;266
"Random drug testing of officers and employees";"..Professional, Scientific and Technical Activities";278;309;378
"Random drug testing of officers and employees";"..Administrative and Support Service Activities";1244;1188;1343
"Random drug testing of officers and employees";"..Education Except Public Education";984;768;1084
"Random drug testing of officers and employees";"..Human Health and Social Work Activities Except Public Health Activities";462;522;578
"Random drug testing of officers and employees";"..Arts, Entertainment and  Recreation";161;143;169
"Random drug testing of officers and employees";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";255;181;216
"Assessment of ventilation system";"Number of Establishments with Preventive and Control Measures/ Activities";..;..;21980
"Assessment of ventilation system";"..Agriculture, Forestry and Fishing";..;..;583
"Assessment of ventilation system";"..Mining and Quarrying";..;..;103
"Assessment of ventilation system";"..Manufacturing";..;..;4468
"Assessment of ventilation system";"..Electricity, Gas, Steam and Air Conditioning Supply";..;..;219
"Assessment of ventilation system";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..;..;172
"Assessment of ventilation system";"..Construction";..;..;667
"Assessment of ventilation system";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";..;..;5317
"Assessment of ventilation system";"..Transportation and Storage";..;..;681
"Assessment of ventilation system";"..Accommodation and Food Service Activities";..;..;3124
"Assessment of ventilation system";"..Information and Communication";..;..;481
"Assessment of ventilation system";"..Financial and Insurance Activities";..;..;755
"Assessment of ventilation system";"..Real Estate Activities";..;..;303
"Assessment of ventilation system";"..Professional, Scientific and Technical Activities";..;..;458
"Assessment of ventilation system";"..Administrative and Support Service Activities";..;..;1259
"Assessment of ventilation system";"..Education Except Public Education";..;..;2212
"Assessment of ventilation system";"..Human Health and Social Work Activities Except Public Health Activities";..;..;819
"Assessment of ventilation system";"..Arts, Entertainment and  Recreation";..;..;150
"Assessment of ventilation system";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..;..;209
"Others";"Number of Establishments with Preventive and Control Measures/ Activities";227;168;75
"Others";"..Agriculture, Forestry and Fishing";64;6;1
"Others";"..Mining and Quarrying";..;4;..
"Others";"..Manufacturing";41;38;12
"Others";"..Electricity, Gas, Steam and Air Conditioning Supply";..;8;1
"Others";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..;7;..
"Others";"..Construction";1;2;2
"Others";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";19;37;22
"Others";"..Transportation and Storage";4;8;6
"Others";"..Accommodation and Food Service Activities";16;1;6
"Others";"..Information and Communication";4;1;2
"Others";"..Financial and Insurance Activities";1;11;5
"Others";"..Real Estate Activities";..;1;..
"Others";"..Professional, Scientific and Technical Activities";5;4;4
"Others";"..Administrative and Support Service Activities";8;7;3
"Others";"..Education Except Public Education";6;19;5
"Others";"..Human Health and Social Work Activities Except Public Health Activities";57;3;4
"Others";"..Arts, Entertainment and  Recreation";..;7;..
"Others";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..;2;2
