"Total population by age group, sex, region, province, and highly urbanized city: 2010"

"Geolocation";"2010 Male Below 5";"2010 Male 5-9";"2010 Male 10-14";"2010 Male 15-19";"2010 Male 20-24";"2010 Male 25-29";"2010 Male 30-34";"2010 Male 35-39";"2010 Male 40-44";"2010 Male 45-49";"2010 Male 50-54";"2010 Male 55-59";"2010 Male 60-64";"2010 Male 65-69";"2010 Male 70-74";"2010 Male 75-79";"2010 Male 80 and over";"2010 Female Below 5";"2010 Female 5-9";"2010 Female 10-14";"2010 Female 15-19";"2010 Female 20-24";"2010 Female 25-29";"2010 Female 30-34";"2010 Female 35-39";"2010 Female 40-44";"2010 Female 45-49";"2010 Female 50-54";"2010 Female 55-59";"2010 Female 60-64";"2010 Female 65-69";"2010 Female 70-74";"2010 Female 75-79";"2010 Female 80 and over"
"....Puerto Princesa City";12721;12921;12418;12253;10931;9582;8856;7902;7075;6140;5082;3477;2302;1268;960;554;395;11730;11827;11724;12987;10797;9429;8090;6898;6118;5225;4192;3032;2122;1343;1086;619;617
"....Romblon";16335;18100;19203;16659;11485;9031;8330;8381;8209;7257;6068;4555;3460;2893;2127;1288;1026;15099;16755;17716;14619;10380;8471;7890;7795;7746;6984;6118;4903;4192;3793;3005;1978;2079
"..Region V (Bicol Region)";343423;361608;357183;313296;231385;187579;174286;156805;148896;128381;106841;83553;63313;45004;32057;18727;15144;319838;337548;333002;281676;206762;173283;164287;150816;142753;123644;106383;86908;71826;55060;43350;27677;28117
"....Albay";73180;77406;77067;71104;54014;44949;41037;36512;34834;29956;24735;20121;15624;10323;7411;4415;3502;67352;72179;71499;65251;49668;41875;39144;35585;33719;29367;25653;21244;17828;12931;10112;6605;7230
"....Camarines Norte";34615;34911;34960;30159;23856;18961;17957;16355;16174;13728;11478;8538;6373;4223;2881;1598;1224;32450;32442;32626;27660;21165;17954;16832;15540;15068;12793;10741;8664;6986;5123;3922;2535;2423
"....Camarines Sur";116093;122778;118417;104762;80921;64982;59339;51963;48859;42492;35696;28281;21134;14569;10187;5964;5167;108255;114563;110371;94371;71754;59474;55834;50065;47210;41135;35670;29143;23885;17612;13696;8935;8794
"....Catanduanes";14981;16037;16350;14782;10535;8350;7581;6953;6883;5939;4887;3694;2954;2403;1890;1181;1092;13830;14646;15098;12896;9147;7565;7079;6534;6410;5565;4593;3908;3403;2963;2582;1664;1925
"....Masbate";59687;61279;59966;48361;31939;26242;24645;23192;21132;18224;15363;11639;8402;6666;4942;2783;1999;56584;57895;56529;42471;28458;23773;23166;22085;20317;17607;15336;12300;9605;8237;6637;3852;3337
"....Sorsogon";44867;49197;50423;44128;30120;24095;23727;21830;21014;18042;14682;11280;8826;6820;4746;2786;2160;41367;45823;46879;39027;26570;22642;22232;21007;20029;17177;14390;11649;10119;8194;6401;4086;4408
"..Region VI (Western Visayas)";382948;393140;398710;393462;335002;280648;251337;223822;210475;188281;158774;127173;91853;65929;49397;30112;25597;356293;368334;373528;368211;305600;256262;228979;210136;201344;182312;160358;132238;104310;82770;69170;46390;49543
"....  Aklan";29041;28751;29988;29723;25709;22107;19348;16630;15639;13475;11465;9384;7344;5240;3846;2354;2196;26899;26832;27709;27743;24121;20427;17533;15319;14627;13004;11478;9388;8013;6594;5261;3851;4686
"....  Antique";29685;31867;32217;30722;25246;20640;18596;16932;15535;14220;11997;9317;6915;5584;4128;2657;2398;28169;29765;30346;27512;21922;18362;16513;15357;14962;13616;11784;9618;8113;6929;5929;4149;4329
"....  Capiz";36160;39467;42141;41409;33129;27635;24945;22503;21230;19470;16205;13228;9453;6848;5069;3098;2636;33265;37558;39921;38502;30146;25030;22770;20950;20665;18680;16548;13935;10900;8652;7273;4892;5372
"....  Guimaras";8554;8704;9072;8816;8019;6855;6103;5399;4936;4417;3770;2966;2116;1547;1255;778;691;8073;8040;8235;8130;6962;6142;5313;4823;4520;4143;3577;2909;2277;1788;1636;1146;1231
"....  Iloilo (excluding Iloilo City)";96702;98474;97871;96554;85930;72659;64854;57130;53530;47791;40589;32308;24263;17838;13747;8615;8221;89923;91929;91587;89230;77773;66111;58483;52827;50785;46162;40588;33895;28238;22675;19281;13421;15592
"....  Iloilo City";20467;20162;20050;20486;20934;18810;16595;13863;12767;11522;9850;7767;5539;3236;2444;1471;1338;18899;18929;18809;22333;22111;19055;16567;13553;13382;12274;10842;8925;6858;4622;3959;2862;3338
"....  Negros Occidental (excluding Bacolod City)";136423;140205;142023;140091;112274;90613;81426;74191;70836;63648;53209;42693;29543;21434;15979;9434;6831;127232;131142;132921;127513;97867;79782;72571;69990;66268;60202;52536;42887;31922;25865;21248;13240;12000
"....  Bacolod City";25916;25510;25348;25661;23761;21329;19470;17174;16002;13738;11689;9510;6680;4202;2929;1705;1286;23833;24139;24000;27248;24698;21353;19229;17317;16135;14231;13005;10681;7989;5645;4583;2829;2995
"..Region VII (Central Visayas)";389494;390722;378289;368096;313368;272206;244995;217892;196540;173535;143469;113115;82623;59430;44007;26897;22893;361976;364375;356006;352258;303225;262625;235462;210140;190578;169745;143340;117790;90983;70819;57435;38109;37743
"....Bohol";70261;75454;72937;67574;53523;44110;40968;38771;36011;32028;27542;21596;17642;14677;10919;6919;6496;65035;70157;68466;61235;48895;41666;38540;36771;34567;31503;27297;22445;19513;17490;13910;9783;10427
"....Cebu (excluding The Cities of Cebu, Lapu-Lapu, And Mandaue)";157500;155724;149066;143775;119081;103291;93792;83670;74816;66095;53971;43211;31480;22292;16285;9964;8422;146104;144363;139239;134240;112055;98009;88998;79673;71236;63277;53450;45094;34265;26527;21691;14573;14133
"....Cebu City";45467;43561;41481;44425;45488;40574;34464;28785;25532;22146;18097;13728;9665;5557;3825;2151;1792;42316;40772;39689;48482;49064;41365;34246;28837;26255;22868;19170;14887;11416;7244;5617;3668;3537
"....Lapu-Lapu City (Opon)";21597;20475;17874;16517;17171;16978;15342;12591;10084;7663;5927;4215;2763;1604;1046;547;445;20158;19119;16861;18402;19648;18008;16441;12546;9745;7677;5859;4478;3307;2118;1477;957;827
"....Mandaue City";19164;17309;15424;16002;17922;17321;14692;11681;9861;7917;6307;4332;2872;1639;1041;565;464;17890;16205;14831;17492;19438;17818;14523;11376;9719;7894;6310;4730;3231;2066;1466;904;914
