"Number of Registered Marriages by Age Group of Male and Place of Occurrence (Region, Province and HUCs), Philippines: 2013-2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__MA/1001A1BMAR0.px/table/tableViewLayout1/?rxid=755d6dde-6b4c-467c-8864-6839e23553f5"
"Geolocation";"2013 Total";"2013 Under 15";"2013 15 - 19";"2013 20 - 24";"2013 25 - 29";"2013 30 - 34";"2013 35 - 39";"2013 40 - 44";"2013 45 - 49";"2013 50 - 54";"2013 55 - 59";"2013 60 and Over";"2013 Not Stated";"2014 Total";"2014 Under 15";"2014 15 - 19";"2014 20 - 24";"2014 25 - 29";"2014 30 - 34";"2014 35 - 39";"2014 40 - 44";"2014 45 - 49";"2014 50 - 54";"2014 55 - 59";"2014 60 and Over";"2014 Not Stated";"2015 Total";"2015 Under 15";"2015 15 - 19";"2015 20 - 24";"2015 25 - 29";"2015 30 - 34";"2015 35 - 39";"2015 40 - 44";"2015 45 - 49";"2015 50 - 54";"2015 55 - 59";"2015 60 and Over";"2015 Not Stated";"2016 Total";"2016 Under 15";"2016 15 - 19";"2016 20 - 24";"2016 25 - 29";"2016 30 - 34";"2016 35 - 39";"2016 40 - 44";"2016 45 - 49";"2016 50 - 54";"2016 55 - 59";"2016 60 and Over";"2016 Not Stated";"2017 Total";"2017 Under 15";"2017 15 - 19";"2017 20 - 24";"2017 25 - 29";"2017 30 - 34";"2017 35 - 39";"2017 40 - 44";"2017 45 - 49";"2017 50 - 54";"2017 55 - 59";"2017 60 and Over";"2017 Not Stated";"2018 Total";"2018 Under 15";"2018 15 - 19";"2018 20 - 24";"2018 25 - 29";"2018 30 - 34";"2018 35 - 39";"2018 40 - 44";"2018 45 - 49";"2018 50 - 54";"2018 55 - 59";"2018 60 and Over";"2018 Not Stated";"2019 Total";"2019 Under 15";"2019 15 - 19";"2019 20 - 24";"2019 25 - 29";"2019 30 - 34";"2019 35 - 39";"2019 40 - 44";"2019 45 - 49";"2019 50 - 54";"2019 55 - 59";"2019 60 and Over";"2019 Not Stated";"2020 Total";"2020 Under 15";"2020 15 - 19";"2020 20 - 24";"2020 25 - 29";"2020 30 - 34";"2020 35 - 39";"2020 40 - 44";"2020 45 - 49";"2020 50 - 54";"2020 55 - 59";"2020 60 and Over";"2020 Not Stated";"2021 Total";"2021 Under 15";"2021 15 - 19";"2021 20 - 24";"2021 25 - 29";"2021 30 - 34";"2021 35 - 39";"2021 40 - 44";"2021 45 - 49";"2021 50 - 54";"2021 55 - 59";"2021 60 and Over";"2021 Not Stated";"2022 Total";"2022 Under 15";"2022 15 - 19";"2022 20 - 24";"2022 25 - 29";"2022 30 - 34";"2022 35 - 39";"2022 40 - 44";"2022 45 - 49";"2022 50 - 54";"2022 55 - 59";"2022 60 and Over";"2022 Not Stated"
"..COTABATO 2/";6341;2;157;1914;2261;1085;490;190;121;61;21;39;0;5675;0;125;1662;2013;1026;462;175;93;53;26;40;0;5498;0;110;1511;2022;1036;408;213;89;47;30;32;0;5431;1;107;1446;1979;1087;423;184;80;57;25;42;0;5407;0;75;1308;2026;1111;456;204;83;53;43;48;0;5553;0;88;1249;2086;1214;475;205;103;56;32;45;0;4692;0;64;985;1795;1048;431;194;78;34;21;42;0;3293;0;29;610;1361;714;322;122;51;35;25;24;0;4945;0;45;902;1931;1191;474;199;99;43;23;38;0;5581;0;40;835;2113;1411;640;257;134;66;38;47;0
"..SARANGANI";1950;0;65;625;595;354;152;66;36;29;15;13;0;2206;0;56;761;716;343;157;79;28;26;15;25;0;2138;0;75;710;736;338;139;49;37;26;7;21;0;1837;0;59;565;649;316;122;58;35;14;4;15;0;2107;0;70;579;727;420;146;77;37;16;13;22;0;2256;1;66;711;737;391;175;72;47;23;14;19;0;1834;0;51;567;636;334;117;58;38;17;8;8;0;1241;1;39;314;417;260;98;52;31;11;9;9;0;1936;0;59;478;731;372;171;67;27;16;7;8;0;2240;0;61;511;782;481;211;108;39;15;11;21;0
"..SOUTH COTABATO";4080;0;98;1186;1448;804;301;121;56;26;19;20;1;4264;0;77;1141;1538;837;359;145;68;37;23;39;0;3794;0;80;979;1421;735;304;133;60;33;17;32;0;3418;0;45;835;1306;693;306;130;42;20;18;22;1;4233;0;55;987;1636;897;356;164;59;26;20;33;0;4254;0;58;880;1524;1011;416;182;80;37;36;30;0;3610;0;46;772;1336;816;352;151;54;35;16;32;0;2438;0;35;436;956;596;214;100;41;27;13;20;0;3685;0;39;602;1400;944;375;174;70;33;15;33;0;4545;0;28;620;1620;1240;559;251;98;46;39;44;0
"..SULTAN KUDARAT";2547;0;73;734;856;499;197;89;45;32;13;9;0;2830;0;70;765;998;532;250;93;63;28;17;14;0;2538;0;77;740;870;488;203;73;36;15;16;20;0;2519;0;51;614;922;514;215;99;47;17;12;28;0;2963;1;98;746;1026;608;269;104;43;26;19;23;0;2641;0;58;609;984;560;223;99;51;25;23;9;0;2548;0;50;557;939;573;204;117;44;26;20;18;0;1267;0;14;235;514;301;106;52;19;10;5;11;0;2468;0;30;432;958;619;216;115;45;16;14;23;0;2935;0;30;441;1072;738;344;158;78;37;21;16;0
"..CITY OF GENERAL SANTOS";2747;0;38;635;1014;612;219;113;47;26;15;28;0;2693;0;23;603;1029;577;215;116;47;28;20;35;0;2882;0;34;542;1086;663;293;112;62;28;27;35;0;2353;0;19;448;879;571;215;90;51;28;20;32;0;2980;0;24;490;1149;739;314;108;65;38;21;32;0;3096;0;26;440;1209;774;350;144;61;32;16;44;0;2566;0;12;377;1020;650;284;98;50;28;16;31;0;1755;0;5;225;722;473;184;66;38;14;8;20;0;2813;0;13;330;1035;835;339;140;54;24;15;28;0;2655;0;6;321;925;792;315;131;64;31;28;42;0
"REGION XIII (Caraga)";12274;0;203;3144;4399;2440;947;489;255;143;90;163;1;12786;0;142;2907;4599;2750;1130;525;259;173;115;185;1;13105;0;152;2926;4667;2739;1250;574;258;195;138;206;0;12107;0;149;2494;4512;2537;1161;514;266;176;118;180;0;11508;0;156;2299;4204;2504;1140;479;261;176;114;174;1;12569;0;116;2348;4491;2902;1312;544;309;194;129;224;0;11716;0;104;1920;4169;2911;1241;598;253;196;121;203;0;6827;0;33;1008;2517;1776;756;309;152;95;62;119;0;11544;0;68;1627;4307;3130;1225;547;242;154;84;160;0;12603;0;53;1499;4378;3431;1617;736;334;188;128;238;1
"..AGUSAN DEL NORTE";2247;0;44;607;752;446;192;80;49;26;20;31;0;1741;0;17;396;600;364;154;70;47;24;32;37;0;1829;0;32;461;635;344;170;76;34;21;22;34;0;1994;0;24;436;735;383;173;85;55;41;26;36;0;1815;0;34;390;616;343;181;92;66;32;26;34;1;1644;0;19;363;558;362;174;70;33;20;14;31;0;1665;0;16;323;593;403;153;73;33;26;19;26;0;832;0;6;153;298;225;79;33;11;10;7;10;0;1706;0;14;294;601;463;170;83;35;14;12;20;0;1876;0;14;277;619;468;241;106;54;35;20;42;0
"..AGUSAN DEL SUR";3514;0;66;959;1257;653;253;144;65;46;31;40;0;3660;0;52;928;1339;713;289;148;74;40;32;45;0;3964;0;54;995;1371;756;365;182;79;66;35;61;0;3909;0;56;849;1486;786;356;166;81;45;34;50;0;3326;0;60;724;1231;657;294;144;76;55;37;48;0;4014;0;37;830;1391;861;387;188;118;76;41;85;0;3252;0;38;602;1134;732;335;178;84;64;28;57;0;2203;0;11;373;736;530;250;114;69;42;22;56;0;3129;0;29;527;1118;777;326;159;73;47;24;49;0;3299;0;14;441;1146;852;419;220;83;44;33;47;0
"..DINAGAT ISLANDS";374;0;8;110;137;67;22;12;7;5;0;6;0;401;0;7;104;135;84;35;10;10;2;2;12;0;670;0;13;162;236;132;65;24;9;10;8;11;0;380;0;5;86;136;72;34;21;10;4;2;10;0;341;0;4;79;115;74;33;13;11;4;5;3;0;365;0;0;76;133;76;42;11;13;2;3;9;0;353;0;5;74;110;75;45;20;12;3;2;7;0;132;0;0;20;62;33;11;3;1;1;0;1;0;220;0;0;28;81;67;18;8;6;7;2;3;0;413;0;1;40;141;115;55;28;13;4;5;11;0
"..SURIGAO DEL NORTE";2338;0;36;622;852;461;172;82;45;24;14;30;0;2732;0;23;615;1008;579;268;112;32;39;19;36;1;2278;0;26;514;821;493;203;98;38;30;23;32;0;2124;0;27;448;781;485;204;74;36;25;13;31;0;2222;0;29;435;864;488;205;81;38;26;22;34;0;2533;0;28;462;902;590;284;113;57;35;24;38;0;2404;0;28;399;834;627;256;122;40;36;26;36;0;1323;0;12;197;504;332;157;49;25;13;13;21;0;2120;0;8;323;813;559;222;94;41;19;16;25;0;2379;0;8;291;842;667;298;108;50;45;29;41;0
"..SURIGAO DEL SUR";2563;0;33;603;923;534;191;123;66;33;18;39;0;2997;0;37;622;1059;675;285;138;73;49;17;42;0;3080;0;22;596;1108;675;325;142;76;49;36;51;0;2582;0;31;506;930;547;278;119;57;41;31;42;0;2539;0;25;497;917;593;268;103;44;43;12;37;0;2545;0;26;443;944;587;259;98;62;43;37;46;0;2610;0;14;361;940;670;295;134;63;49;32;52;0;1430;0;4;178;551;380;161;69;31;20;10;26;0;3072;0;14;349;1150;863;353;151;72;50;24;46;0;3193;0;12;345;1092;895;419;187;98;45;30;69;1
"..CITY OF BUTUAN";1238;0;16;243;478;279;117;48;23;9;7;17;1;1255;0;6;242;458;335;99;47;23;19;13;13;0;1284;0;5;198;496;339;122;52;22;19;14;17;0;1118;0;6;169;444;264;116;49;27;20;12;11;0;1265;0;4;174;461;349;159;46;26;16;12;18;0;1468;0;6;174;563;426;166;64;26;18;10;15;0;1432;0;3;161;558;404;157;71;21;18;14;25;0;907;0;0;87;366;276;98;41;15;9;10;5;0;1297;0;3;106;544;401;136;52;15;17;6;17;0;1443;0;4;105;538;434;185;87;36;15;11;28;0
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 3/";1439;0;54;327;459;306;144;80;32;17;13;5;2;1164;0;35;279;403;251;100;46;16;17;7;8;2;2418;0;77;580;837;459;226;106;60;23;19;18;13;2232;0;70;522;796;434;186;110;32;32;25;22;3;2683;5;142;713;883;479;235;96;52;40;13;25;0;2808;1;123;653;956;582;217;127;68;33;24;24;0;2451;1;133;554;834;489;209;93;59;31;27;21;0;1781;1;150;472;590;301;139;60;35;8;15;10;0;2337;1;139;539;817;480;177;89;42;25;12;16;0;3432;4;169;691;1167;770;310;153;71;31;30;35;1
"..BASILAN";245;0;7;44;70;59;32;13;9;6;3;2;0;35;0;2;7;10;6;4;4;1;0;0;0;1;158;0;10;35;42;34;8;14;4;1;3;2;5;124;0;7;26;41;28;10;4;4;1;2;1;0;171;0;8;47;56;27;9;12;6;5;0;1;0;256;0;13;54;91;39;27;15;9;5;1;2;0;259;0;13;49;97;49;26;8;14;2;1;0;0;93;0;14;24;32;11;9;1;1;1;0;0;0;177;1;9;41;49;41;16;8;4;5;2;1;0;248;0;21;44;71;51;26;18;10;2;3;2;0
"..LANAO DEL SUR";173;0;5;56;44;36;12;12;5;2;0;0;1;191;0;5;51;60;38;19;6;2;5;2;3;0;758;0;21;202;257;133;65;35;22;8;6;8;1;495;0;16;135;177;84;39;22;6;7;3;6;0;389;2;10;122;133;64;34;14;4;0;2;4;0;702;0;23;168;233;142;54;32;22;9;15;4;0;456;0;19;117;149;87;46;11;7;8;5;7;0;320;0;12;69;128;60;24;15;6;1;2;3;0;373;0;12;89;140;79;27;13;7;0;1;5;0;678;1;15;136;244;173;39;38;14;5;4;9;0
"..MAGUINDANAO 4/";1015;0;41;225;345;209;100;55;17;9;10;3;1;925;0;26;219;332;201;77;35;12;12;5;5;1;1437;0;45;331;514;282;142;54;32;14;10;6;7;1583;0;46;357;570;310;133;83;22;24;20;15;3;1750;2;117;476;569;304;146;57;28;28;8;15;0;1449;1;75;371;484;303;102;53;26;13;8;13;0;1319;1;84;305;456;265;93;54;28;12;13;8;0;1084;1;104;303;346;177;78;34;21;5;11;4;0;1488;0;109;367;514;280;108;55;25;18;5;7;0;1931;2;110;434;654;393;174;75;36;18;15;20;0
"..SULU";4;0;0;1;0;2;0;0;1;0;0;0;0;6;0;1;0;1;3;0;0;1;0;0;0;0;7;0;0;1;0;2;2;0;1;0;0;1;0;17;0;0;0;4;9;3;1;0;0;0;0;0;225;1;6;43;76;47;28;9;6;4;1;4;0;202;0;3;28;80;48;19;11;7;3;0;3;0;259;0;10;53;76;56;28;14;7;8;5;2;0;115;0;7;28;30;21;14;4;5;1;2;3;0;220;0;8;27;93;54;20;10;4;1;2;1;0;384;1;20;47;135;106;42;11;8;5;5;3;1
"..TAWI-TAWI";2;0;1;1;0;0;0;0;0;0;0;0;0;7;0;1;2;0;3;0;1;0;0;0;0;0;58;0;1;11;24;8;9;3;1;0;0;1;0;13;0;1;4;4;3;1;0;0;0;0;0;0;148;0;1;25;49;37;18;4;8;3;2;1;0;199;0;9;32;68;50;15;16;4;3;0;2;0;158;0;7;30;56;32;16;6;3;1;3;4;0;169;0;13;48;54;32;14;6;2;0;0;0;0;79;0;1;15;21;26;6;3;2;1;2;2;0;191;0;3;30;63;47;29;11;3;1;3;1;0
